Index,Lat,Long,NPPTotal_gm2y,Age_yr,BiomassTotal_gm2,Lgs_mo,MAT_C,MAP_mm,LeafType,TEB_DD,Source,SourceIndex,SourcePrimary,Methodology for biomass and production
1243,-13.0765,-52.38579,2084,104.429,18198.4,11,25.28333333,1888,broadleaf,0.55,Malhi et al. (in review),Tanguro control,Rocha et al. 2013,"Published allometries for tropical moist forests, branch litterfall censuses, litterfall traps, root ingrowth cores. Leaf loss to herbivory estimated from litterfall scans. Coarse root values estimated from aboveground based on published ratio of 0.21. Age of canopy and emergent trees estimated by multiplying reported woody biomass residence times by a factor of 3.77 based on published data."
1241,-1.71667,-51.45,2234,333.268,54522.6,12,26.91666667,2348.5,broadleaf,0.6,Malhi et al. (in review),Caxiuana control,da Costa et al. 2013,"Published allometries for tropical moist forests, branch litterfall censuses, litterfall traps, root ingrowth cores. Leaf loss to herbivory estimated from litterfall scans. Coarse root values estimated from aboveground based on published ratio of 0.21. Age of canopy and emergent trees estimated by multiplying reported woody biomass residence times by a factor of 3.77 based on published data."
1242,-1.71667,-51.45,2714,213.382,41357.8,12,26.91666667,2348.5,broadleaf,0.6,Malhi et al. (in review),caxiuana tower,Doughty et al. 2013,"Published allometries for tropical moist forests, branch litterfall censuses, litterfall traps, root ingrowth cores. Leaf loss to herbivory estimated from litterfall scans. Coarse root values estimated from aboveground based on published ratio of 0.21. Age of canopy and emergent trees estimated by multiplying reported woody biomass residence times by a factor of 3.77 based on published data."
1235,-3.95,-73.43333,2828,114.231,31556.8,12,26.725,2784.4,broadleaf,1.25,Malhi et al. (in review),Alp A,Aguila-Pasquel et al. 2013,"Published allometries for tropical moist forests, branch litterfall censuses, litterfall traps, root ingrowth cores. Leaf loss to herbivory estimated from litterfall scans. Coarse root values estimated from aboveground based on published ratio of 0.21. Age of canopy and emergent trees estimated by multiplying reported woody biomass residence times by a factor of 3.77 based on published data."
1236,-3.95,-73.43333,2882,113.477,21417,12,26.725,2784.4,broadleaf,1.25,Malhi et al. (in review),Alp C,Aguila-Pasquel et al. 2013,"Published allometries for tropical moist forests, branch litterfall censuses, litterfall traps, root ingrowth cores. Leaf loss to herbivory estimated from litterfall scans. Coarse root values estimated from aboveground based on published ratio of 0.21. Age of canopy and emergent trees estimated by multiplying reported woody biomass residence times by a factor of 3.77 based on published data."
672,51.7,112.6,774,79,11188,3,-3.533333333,407.8,broadleaf,1.8,Luo (1996); Ni et al. (2001),,,"Site allometries, harvests, root excavation, regional growth allometries, litterfall traps, leaf residence times."
1222,42.53,-72.17,1052,60,24520,6,7.991666667,1128.7,broadleaf,2.05,Luyssaert et al. (2009),Harvard,Curtis et al. (2002),"Site allometries, regional allometries, root cores, minirhizotrons, litterfall traps."
1239,-16.0158,-62.7301,3100,60.697,16020.4,12,24.08333333,1079.3,broadleaf,2.05,Malhi et al. (in review),Kenia Wet,Araujo-Murakami et al. 2013,"Published allometries for tropical moist forests, branch litterfall censuses, litterfall traps, root ingrowth cores. Leaf loss to herbivory estimated from litterfall scans. Coarse root values estimated from aboveground based on published ratio of 0.21. Age of canopy and emergent trees estimated by multiplying reported woody biomass residence times by a factor of 3.77 based on published data."
1240,-16.0158,-62.7301,2254,100.659,16552.8,12,24.08333333,1079.3,broadleaf,2.05,Malhi et al. (in review),Kenia Dry,Araujo-Murakami et al. 2014,"Published allometries for tropical moist forests, branch litterfall censuses, litterfall traps, root ingrowth cores. Leaf loss to herbivory estimated from litterfall scans. Coarse root values estimated from aboveground based on published ratio of 0.21. Age of canopy and emergent trees estimated by multiplying reported woody biomass residence times by a factor of 3.77 based on published data."
62,47.19,-121.35,785,23,7380,6,5.3,2032.6,needle,2.05,Cannell (1982),page  289,Grier et al. (1981); Grier and Milne (1981); Gholz et al. (1979),"Site allometries, root excavation, litterfall traps."
63,47.19,-121.35,1673,180,58330,6,5.3,2032.6,needle,2.05,Cannell (1982),page  289,Grier et al. (1981); Grier and Milne (1981); Gholz et al. (1979),"Site allometries, root excavation, litterfall traps."
65,48.2,-116.5,630,20,2520,5,6.766666667,857.4,needle,2.05,Cannell (1982),page  305,Hanley (1976),Published allometries.
66,48.2,-116.5,920,100,32300,5,6.766666667,857.4,needle,2.05,Cannell (1982),page  305,Hanley (1976),Published allometries.
67,48.2,-116.5,1080,105,41100,5,6.766666667,857.4,needle,2.05,Cannell (1982),page  305,Hanley (1976),Published allometries.
68,48.2,-116.5,820,110,34600,5,6.766666667,857.4,needle,2.05,Cannell (1982),page  305,Hanley (1976),Published allometries.
69,48.2,-116.5,633,250,40000,5,6.766666667,857.4,needle,2.05,Cannell (1982),page  305,Hanley (1976),Published allometries.
70,46.35,-115.37,1530,103,49200,5,5.741666667,700.4,needle,2.05,Cannell (1982),page  306,Hanley (1976),Published allometries.
71,46.35,-115.37,1400,103,50600,5,5.741666667,700.4,needle,2.05,Cannell (1982),page  306,Hanley (1976),Published allometries.
72,46.35,-115.37,1600,103,54400,5,5.741666667,700.4,needle,2.05,Cannell (1982),page  306,Hanley (1976),Published allometries.
73,47.47,-116.3,990,105,34500,5,6.033333333,893.3,needle,2.05,Cannell (1982),page  306,Hanley (1976),Published allometries.
74,46.35,-115.37,1310,103,48800,5,5.741666667,700.4,needle,2.05,Cannell (1982),page  307,Hanley (1976),Published allometries.
75,46.35,-115.37,1570,103,50000,5,5.741666667,700.4,needle,2.05,Cannell (1982),page  307,Hanley (1976),Published allometries.
76,46.35,-115.37,1360,103,52900,5,5.741666667,700.4,needle,2.05,Cannell (1982),page  307,Hanley (1976),Published allometries.
77,46.35,-115.37,1560,103,61800,5,5.741666667,700.4,needle,2.05,Cannell (1982),page  307,Hanley (1976),Published allometries.
