site,lake,species,length_mm,mass_g
146,E 01,slimy sculpin,53,1.25
146,E 01,slimy sculpin,61,1.9
146,E 01,slimy sculpin,53,1.75
146,E 01,slimy sculpin,77,4.25
146,E 01,slimy sculpin,45,0.9
146,E 01,slimy sculpin,48,0.9
146,E 01,slimy sculpin,51,1.05
146,E 01,slimy sculpin,57,1.15
146,E 01,slimy sculpin,51,1.15
146,E 01,slimy sculpin,56,1.3
146,E 01,slimy sculpin,51,1.4
146,E 01,slimy sculpin,57,1.65
146,E 01,slimy sculpin,58,1.7
146,E 01,slimy sculpin,48,0.9
146,E 01,slimy sculpin,51,1.05
146,E 01,slimy sculpin,52,1.2
146,E 01,slimy sculpin,56,1.5
146,E 01,slimy sculpin,45,0.65
146,E 01,slimy sculpin,52,1.2
146,E 01,slimy sculpin,51,1.25
146,E 01,slimy sculpin,75,4.05
146,E 01,slimy sculpin,53,1.25
146,E 01,slimy sculpin,45,0.9
146,E 01,slimy sculpin,77,4.25
146,E 01,slimy sculpin,36,0.55
146,E 01,slimy sculpin,45,0.75
146,E 01,slimy sculpin,72,2.8
146,E 01,slimy sculpin,77,2.85
146,E 01,slimy sculpin,64,2.05
146,E 01,slimy sculpin,85,4.7
146,E 01,slimy sculpin,74,3.8
146,E 01,slimy sculpin,58,2
146,E 01,slimy sculpin,88,4.7
146,E 01,slimy sculpin,47,0.95
146,E 01,slimy sculpin,64,2.6
146,E 01,slimy sculpin,75,2.9
146,E 01,slimy sculpin,63,2.15
146,E 01,slimy sculpin,65,2.45
146,E 01,slimy sculpin,43,0.6
146,E 01,slimy sculpin,63,1.8
146,E 01,slimy sculpin,67,2.5
146,E 01,slimy sculpin,82,4.35
146,E 01,slimy sculpin,65,2.55
146,E 01,slimy sculpin,64,2.85
146,E 01,slimy sculpin,70,3.2
146,E 01,slimy sculpin,57,1.6
146,E 01,slimy sculpin,59,1.95
146,E 01,slimy sculpin,91,7.55
146,E 01,slimy sculpin,56,1.4
146,E 01,slimy sculpin,51,1
146,E 01,slimy sculpin,46,0.75
146,E 01,slimy sculpin,65,2.75
146,E 01,slimy sculpin,35,0.3
146,E 01,slimy sculpin,78,2.75
146,E 01,slimy sculpin,47,0.65
146,E 01,slimy sculpin,43,0.8
