year_of_inventory,region,diameter_mm,stem_volume_m3,tree_age,period,landuse_code,landuse_char,within_formally_protected_areas
2022,SC Sweden,589,3.041089952,95,2013-2022,1,Productive forestland,0
2022,SC Sweden,359,1.0201631,65,2013-2022,1,Productive forestland,0
2022,SC Sweden,290,0.708419034,79,2013-2022,1,Productive forestland,0
2022,SC Sweden,124,0.057617038,29,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,258,0.309379504,61,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,198,0.180335329,54,2013-2022,1,Productive forestland,1
2022,Rest of Sweden,360,1.342563382,83,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,449,1.4597158,81,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,249,0.549422691,60,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,325,0.797560161,53,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,347,0.811313299,95,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,102,0.025959318,67,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,222,0.336647026,61,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,220,0.42258803,62,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,668,4.451530969,195,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,492,2.644253302,131,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,366,1.284182096,116,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,532,3.199379145,144,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,360,1.283438963,100,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,447,2.021618788,108,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,252,0.587333925,114,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,250,0.569171803,104,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,340,1.27893399,127,2013-2022,1,Productive forestland,0
2022,Rest of Sweden,116,0.066105437,40,2013-2022,1,Productive forestland,0
