lake,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM
Toolik,2010-05-07,3,.,.,.,.,.,.,.,16.1,15.90,.,.,.,.,.,.,.,.,480,.,0.812,.,.,428.4,83.3,17.1,7.66,35.6
Toolik,2010-05-07,16,.,.,.,.,.,.,.,17.5,17.20,.,.,.,.,.,.,.,.,454,.,0.846,.,.,467.9,94.9,19.2,8.40,50.1
Horn Lake,2010-06-15,0,.,.,.,0.60,.,0.33,0.11,23.30,.,.,0.80,.,.,65.30,.,1164.00,.,711,.,0.166,.,.,89.70,34.10,17.20,9.61,6.30
Toolik,2010-06-18,0,4.36,4.67,0.59,0.60,.,0.04,0.39,11.82,16.23,.,0.09,.,.,61.80,4.42,488.88,40.71,383,744,0.631,.,.,328.2,65.5,13.5,7.70,28.8
Toolik,2010-06-18,1,4.40,4.64,0.47,0.44,.,0.05,0.45,11.54,15.83,.,0.07,.,.,60.03,4.29,473.68,39.44,379,754,0.633,.,.,338.1,66.6,13.2,7.75,29.3
Toolik,2010-06-18,3,3.58,3.74,0.29,0.16,.,0.03,0.62,11.35,16.44,.,0.07,.,.,71.24,5.09,502.90,41.87,379,759,0.627,.,.,338.9,66.6,13.2,7.79,29.6
Toolik,2010-06-18,5,3.45,3.68,0.44,0.05,.,0.04,0.93,11.71,15.36,.,0.07,.,.,51.17,3.66,404.60,33.69,376,803,0.632,.,.,323.3,65.8,12.7,7.51,29.4
Toolik,2010-06-18,8,1.74,1.85,0.23,0.09,.,0.03,1.65,11.82,14.93,.,0.07,.,.,43.50,3.11,320.51,26.69,382,857,0.652,.,.,341.0,69.0,13.4,7.62,31.8
Toolik,2010-06-18,12,0.95,1.08,0.24,0.11,.,0.04,1.87,12.69,15.16,.,0.05,.,.,34.64,2.48,295.84,24.64,384,894,0.670,.,.,355.5,69.7,13.6,7.64,32.6
Toolik,2010-06-18,16,1.15,1.29,0.26,0.23,.,0.04,2.45,13.47,15.69,.,0.04,.,.,31.10,2.23,268.60,22.37,390,956,0.693,.,.,370.9,73.2,14.4,7.81,35.3
Toolik,2010-06-18,20,0.88,1.02,0.26,0.31,.,0.04,2.40,13.56,15.95,.,0.05,.,.,33.46,2.39,281.63,23.45,391,988,0.712,.,.,373.6,76.0,15.0,7.88,37.6
Toolik,2010-06-18,1,4.40,4.62,0.43,0.19,.,0.05,0.45,.,.,.,0.08,.,.,58.26,4.16,440.32,36.67,.,.,.,.,.,.,.,.,.,.
I1,2010-06-22,1,0.53,0.64,0.21,0.14,.,0.02,0.20,11.2,13.71,.,0.08,.,.,34.96,2.50,297.55,24.78,368,305,0.249,.,.,115.6,32.0,7.7,7.75,12.9
I1,2010-06-22,5,1.38,1.58,0.37,0.09,.,0.01,0.19,12.3,15.83,.,.,.,.,49.40,3.53,401.83,33.46,365,382,0.252,.,.,114.0,31.7,7.8,7.82,12.8
I1,2010-06-22,9,3.78,4.30,1.02,0.06,.,0.04,0.20,11.3,15.96,.,.,.,.,65.90,4.71,498.97,41.55,357,457,0.255,.,.,115.8,32.1,7.6,8.39,14.8
I2,2010-06-22,1,0.69,0.84,0.29,0.23,.,0.04,0.28,16.1,19.09,.,0.12,.,.,41.68,2.98,312.40,26.01,512,255,0.204,.,.,98.4,36.8,8.6,8.60,14.4
I2,2010-06-22,4,3.17,3.47,0.57,0.16,.,0.02,0.26,13.9,18.17,.,0.05,.,.,60.03,4.29,425.52,35.43,502,340,0.212,.,.,98.8,36.8,8.0,8.86,14.4
I2,2010-06-22,14,0.61,0.80,0.35,0.86,.,0.03,1.27,15.1,17.66,.,0.06,.,.,36.28,2.60,358.96,29.89,500,483,0.221,.,.,103.7,37.9,8.0,8.83,18.6
I3,2010-06-22,1,0.68,0.79,0.21,0.11,.,0.09,0.11,11.2,15.06,.,0.04,.,.,53.56,3.83,420.52,35.02,412,269,0.217,.,.,103.0,31.4,7.1,6.42,9.1
I3,2010-06-22,3,2.23,2.58,0.67,0.09,.,0.06,0.02,12.6,16.25,.,0.07,.,.,50.58,3.62,395.52,32.93,426,307,0.220,.,.,102.5,30.8,6.9,6.71,9.7
I4,2010-06-22,1,1.44,1.67,0.43,0.18,.,0.04,.,14.5,20.19,.,0.01,.,.,80.25,5.73,638.26,53.15,467,254,0.208,.,.,103.3,30.9,7.1,6.65,10.8
I4,2010-06-22,4,4.44,5.16,1.39,0.06,.,0.06,0.07,12.6,19.15,.,0.05,.,.,91.84,6.56,786.54,65.49,449,476,0.227,.,.,105.4,31.5,6.9,6.93,13.2
I4,2010-06-22,6,3.76,4.46,1.38,0.08,.,0.06,0.14,13.4,20.57,.,0.07,.,.,100.11,7.15,905.83,75.42,439,604,0.229,.,.,107.6,32.0,7.1,7.17,17.7
I5,2010-06-22,1,1.21,1.34,0.25,0.07,.,0.10,0.01,12.9,16.09,.,0.04,.,.,44.26,3.16,373.54,31.10,475,267,0.198,.,.,98.0,29.4,6.9,6.76,14.9
I5,2010-06-22,4,1.97,2.19,0.43,0.04,.,0.03,0.11,12.5,16.33,.,0.05,.,.,53.53,3.83,454.73,37.87,471,347,0.200,.,.,99.1,29.2,7.0,6.91,14.9
I5,2010-06-22,8,0.04,2.73,5.23,0.05,.,0.03,0.42,14.3,18.84,.,0.04,.,.,63.14,4.51,503.81,41.95,629,487,0.205,.,.,99.3,29.3,6.9,7.05,16.4
I6 Headwater Lake,2010-06-22,1,0.43,0.48,0.09,0.11,.,0.04,0.27,12.1,14.28,.,0.04,.,.,30.83,2.21,247.29,20.59,374,942,0.885,.,.,434.9,63.5,10.8,6.65,35.8
I6 Headwater Lake,2010-06-22,4,1.13,1.23,0.20,0.07,.,0.04,0.39,11.1,13.53,.,0.02,.,.,34.64,2.48,305.11,25.41,367,1083,0.899,.,.,446.4,65.7,11.0,6.73,38.3
I6 Headwater Lake,2010-06-22,6,3.68,4.13,0.87,0.08,.,0.03,0.08,11.7,16.61,.,0.03,.,.,69.34,4.96,559.31,46.57,369,1228,0.931,.,.,458.7,67.3,11.6,7.01,42.0
I Swamp,2010-06-23,1,0.57,0.66,0.17,0.10,.,0.05,0.56,13.2,15.34,.,0.07,.,.,29.80,2.13,242.45,20.19,424,453,0.381,.,.,193.0,37.0,7.6,6.04,17.8
I Swamp,2010-06-23,3,0.71,0.80,0.17,0.08,.,0.06,0.29,12.6,14.89,.,0.05,.,.,31.86,2.28,259.89,21.64,420,464,0.377,.,.,193.3,37.1,7.6,6.05,17.9
I6,2010-06-23,1,0.69,0.81,0.22,0.12,.,0.04,.,14.0,16.70,.,0.06,.,.,37.54,2.69,318.10,26.49,442,411,0.357,.,.,178.5,37.1,8.7,7.43,17.4
I6,2010-06-23,4,1.01,1.22,0.41,0.12,.,0.08,.,13.4,16.66,.,0.04,.,.,46.33,3.31,353.33,29.42,439,479,0.358,.,.,182.5,37.6,8.1,7.26,17.8
I6,2010-06-23,12,0.91,1.13,0.42,0.54,.,0.15,0.61,13.0,15.89,.,0.03,.,.,41.16,2.94,370.60,30.86,431,677,0.410,.,.,205.0,40.4,8.3,7.59,22.4
I7,2010-06-23,1,2.67,2.87,0.38,0.07,.,0.07,.,13.3,15.94,.,0.03,.,.,37.54,2.69,327.60,27.28,422,399,0.355,.,.,179.6,36.2,7.9,7.38,16.1
I7,2010-06-23,3,0.97,1.09,0.23,0.07,.,0.06,0.16,11.5,14.43,.,0.02,.,.,40.64,2.91,317.41,26.43,427,426,0.348,.,.,176.8,36.1,7.8,7.35,16.1
I7,2010-06-23,10,0.91,1.41,0.96,0.96,.,0.09,0.49,12.4,16.73,.,0.05,.,.,60.39,4.32,485.62,40.44,407,799,0.486,.,.,234.7,43.3,8.6,7.99,26.5
I8,2010-06-23,1,0.50,0.56,0.11,0.15,.,0.06,0.01,12.7,16.52,.,0.06,.,.,54.07,3.87,430.88,35.88,418,631,0.596,.,.,334.9,67.3,13.0,5.55,22.7
I8,2010-06-23,4,8.34,8.81,0.92,0.08,.,0.06,0.11,11.7,18.39,.,0.10,.,.,93.08,6.65,657.84,54.78,390,674,0.573,.,.,312.4,61.4,12.0,6.56,23.4
I8,2010-06-23,7,4.78,5.35,1.09,0.13,.,0.08,0.06,11.3,16.85,.,0.08,.,.,78.29,5.59,579.34,48.24,387,789,0.565,.,.,313.4,61.9,12.1,6.58,25.8
NE 14,2010-06-24,1,.,.,.,0.11,.,0.01,0.76,6.80,.,.,0.14,.,0.30,22.10,.,303.50,.,197,1642,1.793,.,.,872.10,220.30,26.60,17.11,19.60
NE 14,2010-06-24,5,.,.,.,0.09,.,0.24,0.01,6.60,.,.,0.06,.,0.18,18.30,.,235.60,.,193,1758,1.810,.,.,876.40,220.20,26.70,17.07,19.90
NE 14,2010-06-24,12,.,.,.,0.08,.,0.07,0.51,6.50,.,.,0.07,.,0.18,28.30,.,342.10,.,194,.,1.991,.,.,964.80,244.10,29.70,18.56,23.30
Toolik,2010-06-25,0,1.15,1.24,0.16,0.41,.,0.03,0.14,10.8,13.89,.,0.05,.,.,42.71,3.05,336.23,28.00,375,675,0.632,.,.,337.3,68.5,13.3,7.59,28.3
Toolik,2010-06-25,1,1.16,1.24,0.17,0.48,.,0.01,0.03,11.5,14.65,.,0.03,.,.,44.78,3.20,344.70,28.70,375,685,0.641,.,.,339.1,68.9,13.4,7.75,28.4
Toolik,2010-06-25,3,1.34,1.43,0.18,0.30,.,.,0.13,11.2,14.36,.,0.05,.,.,43.74,3.13,356.96,29.72,377,681,0.633,.,.,334.2,68.8,13.5,7.62,28.3
Toolik,2010-06-25,5,1.81,2.02,0.40,0.08,.,0.02,.,10.2,13.78,.,0.03,.,.,49.94,3.57,380.28,31.67,372,717,0.637,.,.,334.1,68.0,13.2,7.52,28.4
Toolik,2010-06-25,8,3.88,4.27,0.75,0.13,.,0.01,0.50,11.0,14.76,.,0.01,.,.,53.04,3.79,379.24,31.58,371,802,0.640,.,.,341.7,69.3,13.6,7.79,31.0
Toolik,2010-06-25,12,0.88,1.08,0.37,0.26,.,0.02,1.76,12.1,15.09,.,0.05,.,.,41.68,2.98,309.64,25.78,379,894,0.674,.,.,358.8,72.7,14.0,7.89,34.2
Toolik,2010-06-25,16,0.66,0.83,0.34,0.36,.,0.01,2.03,13.0,15.11,.,0.03,.,.,29.80,2.13,239.17,19.92,383,925,0.689,.,.,362.8,74.1,14.5,7.93,36.0
Toolik,2010-06-25,20,0.58,0.76,0.34,0.39,.,0.03,2.10,13.4,15.93,.,0.03,.,.,35.99,2.57,294.78,24.55,384,947,0.691,.,.,366.7,74.8,14.7,7.94,37.0
Toolik,2010-06-25,1,1.13,1.22,0.17,0.45,.,0.02,0.12,.,.,.,0.05,.,.,47.36,3.39,356.61,29.70,.,.,.,.,.,.,.,.,.,.
E 05,2010-06-28,0,2.03,2.30,0.52,0.66,.,0.04,0.19,13.3,18.3,.,0.08,.,.,69.11,4.94,620.59,51.67,447,130,0.101,.,.,49.5,17.4,9.4,6.72,31.0
E 05,2010-06-28,1,2.58,2.83,0.48,0.10,.,0.04,0.08,11.0,16.8,.,0.11,.,.,80.37,5.74,668.57,55.67,440,135,0.103,.,.,48.7,17.3,9.2,6.62,30.7
E 05,2010-06-28,3,3.98,4.38,0.77,0.11,.,0.05,0.02,12.0,18.4,.,0.10,.,.,90.60,6.47,764.86,63.69,444,138,0.089,.,.,49.1,17.4,9.3,6.70,30.5
