sampling_site,species,length_mm,mass_g,lake
Island Lake,lake trout,640,2600,Island Lake
Island Lake,lake trout,650,2350,Island Lake
Island Lake,lake trout,585,2200,Island Lake
Island Lake,lake trout,720,3950,Island Lake
Island Lake,lake trout,880,6800,Island Lake
Island Lake,lake trout,830,3200,Island Lake
Island Lake,lake trout,590,2200,Island Lake
Island Lake,lake trout,636,1850,Island Lake
Island Lake,lake trout,875,4850,Island Lake
Island Lake,lake trout,576,1650,Island Lake
NE 12,lake trout,206,83,NE 12
NE 12,lake trout,191,48,NE 12
NE 12,lake trout,228,98,NE 12
NE 12,lake trout,208,65,NE 12
NE 12,lake trout,228,90,NE 12
NE 12,lake trout,215,86,NE 12
NE 12,lake trout,256,120,NE 12
NE 12,lake trout,330,305,NE 12
NE 12,lake trout,368,460,NE 12
NE 12,lake trout,416,580,NE 12
NE 12,lake trout,303,220,NE 12
NE 12,lake trout,459,950,NE 12
NE 12,lake trout,433,740,NE 12
NE 12,lake trout,472,1150,NE 12
NE 12,lake trout,415,580,NE 12
NE 12,lake trout,445,970,NE 12
NE 12,lake trout,455,1100,NE 12
NE 12,lake trout,137,18,NE 12
NE 12,lake trout,143,19,NE 12
NE 12,lake trout,285,195,NE 12
NE 12,lake trout,370,375,NE 12
NE 12,lake trout,356,355,NE 12
NE 12,lake trout,525,1500,NE 12
NE 12,lake trout,477,1100,NE 12
NE 12,lake trout,490,1200,NE 12
NE 12,lake trout,567,1400,NE 12
NE 12,lake trout,280,172,NE 12
NE 12,lake trout,187,54,NE 12
NE 12,lake trout,135,17.5,NE 12
NE 12,lake trout,423,747,NE 12
NE 12,lake trout,418,725,NE 12
NE 12,lake trout,495,1300,NE 12
NE 12,lake trout,328,285,NE 12
NE 12,lake trout,225,76,NE 12
NE 12,lake trout,164,27.5,NE 12
NE 12,lake trout,141,19.5,NE 12
NE 12,lake trout,488,1260,NE 12
NE 12,lake trout,424,841,NE 12
NE 12,lake trout,135,19.5,NE 12
NE 12,lake trout,147,25.5,NE 12
NE 12,lake trout,138,19,NE 12
NE 12,lake trout,343,331,NE 12
NE 12,lake trout,505,1400,NE 12
NE 12,lake trout,462,929,NE 12
NE 12,lake trout,448,928,NE 12
NE 12,lake trout,360,440,NE 12
NE 12,lake trout,331,340,NE 12
NE 12,lake trout,340,370,NE 12
NE 12,lake trout,324,275,NE 12
NE 12,lake trout,288,182,NE 12
NE 12,lake trout,262,134,NE 12
NE 12,lake trout,240,108,NE 12
NE 12,lake trout,207,65,NE 12
NE 12,lake trout,482,1050,NE 12
NE 12,lake trout,206,NA,NE 12
NE 12,lake trout,367,375,NE 12
NE 12,lake trout,465,1000,NE 12
NE 12,lake trout,421,641,NE 12
NE 12,lake trout,432,631,NE 12
NE 12,lake trout,502,1450,NE 12
NE 12,lake trout,443,795,NE 12
NE 12,lake trout,259,132,NE 12
NE 12,lake trout,299,221,NE 12
NE 12,lake trout,268,170,NE 12
NE 12,lake trout,144,23.5,NE 12
NE 12,lake trout,125,13.1,NE 12
NE 12,lake trout,454,895,NE 12
NE 12,lake trout,493,1050,NE 12
NE 12,lake trout,480,1100,NE 12
NE 12,lake trout,330,297,NE 12
NE 12,lake trout,305,250,NE 12
NE 12,lake trout,255,148,NE 12
NE 12,lake trout,208,70,NE 12
NE 12,lake trout,435,810,NE 12
NE 12,lake trout,477,1040,NE 12
NE 12,lake trout,387,465,NE 12
NE 12,lake trout,348,329,NE 12
NE 12,lake trout,428,600,NE 12
NE 12,lake trout,344,355,NE 12
NE 12,lake trout,283,208,NE 12
NE 12,lake trout,206,71,NE 12
NE 12,lake trout,263,155,NE 12
NE 12,lake trout,425,730,NE 12
NE 12,lake trout,295,205,NE 12
NE 12,lake trout,383,430,NE 12
NE 12,lake trout,482,1150,NE 12
NE 12,lake trout,285,185,NE 12
NE 12,lake trout,211,68,NE 12
NE 12,lake trout,417,745,NE 12
NE 12,lake trout,444,870,NE 12
NE 12,lake trout,490,1050,NE 12
NE 12,lake trout,511,1490,NE 12
NE 12,lake trout,509,1120,NE 12
NE 12,lake trout,484,1030,NE 12
NE 12,lake trout,382,525,NE 12
NE 12,lake trout,300,235,NE 12
NE 12,lake trout,544,930,NE 12
NE 12,lake trout,482,100,NE 12
NE 12,lake trout,443,840,NE 12
NE 12,lake trout,298,240,NE 12
NE 12,lake trout,247,138,NE 12
NE 12,lake trout,NA,58,NE 12
NE 12,lake trout,311,282,NE 12
NE 12,lake trout,387,638,NE 12
NE 12,lake trout,432,895,NE 12
NE 12,lake trout,215,88,NE 12
NE 12,lake trout,204,72,NE 12
NE 12,lake trout,230,98,NE 12
NE 12,lake trout,413,760,NE 12
NE 12,lake trout,312,250,NE 12
NE 12,lake trout,341,375,NE 12
NE 12,lake trout,192,43,NE 12
NE 12,lake trout,210,57,NE 12
NE 12,lake trout,244,100,NE 12
NE 12,lake trout,206,76,NE 12
NE 12,lake trout,221,97,NE 12
NE 12,lake trout,215,90,NE 12
NE 12,lake trout,331,370,NE 12
NE 12,lake trout,415,705,NE 12
NE 12,lake trout,218,100,NE 12
