range,lake,collection_loc,mat_id,initial_length,final_length,days,growth_per_day,avg_temp
Invasive,Big,Big,B11,11,32.5,70,0.3071,23.96
Invasive,Big,Big,B5,10.75,32.5,70,0.3107,23.96
Invasive,Big,Big,B8,10,30.75,70,0.2964,23.96
Invasive,Big,Big,B11,11,33,70,0.3143,24.11
Invasive,Big,Big,B5,11,34,70,0.3286,24.11
Invasive,High,Big,B11,11,30.5,70,0.2786,23.65
Invasive,High,Big,B5,11,30,70,0.2714,23.65
Invasive,High,Big,B8,9.25,30,70,0.2964,23.65
Invasive,High,Big,B10,9.25,31,70,0.3107,23.65
Invasive,High,Big,B8,9.5,31,70,0.3071,23.38
Invasive,Papoose,Big,B11,11.25,26,70,0.2107,23.94
Invasive,Papoose,Big,B5,11.25,23.5,70,0.175,23.94
Invasive,Papoose,Big,B10,10.25,26,70,0.225,23.94
Invasive,Papoose,Big,B11,11,24,70,0.1857,24.03
Invasive,Papoose,Big,B5,10.5,22,70,0.1643,24.03
Invasive,Papoose,Big,B8,10,24,70,0.2,24.03
Invasive,Papoose,Big,B10,9.25,22.5,70,0.1893,24.03
Native,Big,Buck,Bu3,11,38,108,0.25,22.4
Native,Big,Buck,Bu4,10.5,39,108,0.2639,22.4
Native,Big,Buck,Bu5,11,37,108,0.2407,22.4
Native,Big,Buck,Bu3,11,37,108,0.2407,22.21
Native,High,Buck,Bu6,10.75,36,106,0.2382,21.97
Native,High,Buck,Bu3,11,38,106,0.2547,21.97
Native,High,Buck,Bu7,9,37.25,106,0.2665,21.71
Native,High,Buck,Bu4,10,38,106,0.2642,21.71
Native,High,Buck,Bu5,11,39.25,106,0.2665,21.71
Native,High,Buck,Bu3,10.5,44.25,106,0.3184,21.71
Native,High,Buck,Bu4,9.5,33.4,106,0.2255,21.97
Native,High,Buck,Bu5,10.5,33.5,106,0.217,21.97
Native,Papoose,Buck,Bu3,10.25,31,106,0.1958,22.12
Native,Papoose,Buck,Bu1,11,30,106,0.1792,22.19
Native,Papoose,Buck,Bu5,10.5,31,106,0.1934,22.19
Native,Papoose,Buck,Bu6,11,31,106,0.1887,22.19
Native,Papoose,Buck,Bu3,11,30.25,106,0.1816,22.19
Native,Papoose,Buck,Bu4,10,30,106,0.1887,22.12
Native,Papoose,Buck,Bu5,11,32,106,0.1981,22.12
Native,Big,Grace,G1,10,36,108,0.2407,22.21
Native,High,Grace,G5,10,34,106,0.2264,21.97
Native,High,Grace,G3,10,35.5,106,0.2406,21.71
Native,High,Grace,G4,9,36.25,106,0.2571,21.71
Native,High,Grace,G1,10,38.25,106,0.2665,21.71
Native,High,Grace,G5,9.75,31,106,0.2005,21.71
Native,High,Grace,G1,10.5,40.5,106,0.283,21.97
Native,Papoose,Grace,G5,9,30,106,0.1981,22.12
Native,Papoose,Grace,G3,10,29,106,0.1792,22.12
Native,Papoose,Grace,G1,10.25,29,106,0.1769,22.19
Native,Papoose,Grace,G5,9.25,29.5,106,0.191,22.19
Invasive,Big,High,H9,10,30,70,0.2857,23.96
Invasive,Big,High,H4,10.25,30,70,0.2821,23.96
Invasive,Big,High,H9,10,36,70,0.3714,24.11
Invasive,Big,High,H4,10.5,35.5,70,0.3571,24.11
Invasive,Big,High,H2,11,31,70,0.2857,24.11
Invasive,Big,High,H1,9,37,70,0.4,24.11
Invasive,High,High,H9,9.75,30,70,0.2893,23.65
Invasive,High,High,H4,10.25,36,70,0.3679,23.38
Invasive,High,High,H2,10.75,33.5,70,0.325,23.38
Invasive,High,High,H10,9.5,31.5,70,0.3143,23.38
Invasive,High,High,H9,9.5,31,70,0.3071,23.38
Invasive,High,High,H4,10.5,37.5,70,0.3857,23.38
Invasive,High,High,H1,9.25,40,70,0.4393,23.38
Invasive,Papoose,High,H9,11,21.25,70,0.1464,23.94
Invasive,Papoose,High,H4,10.25,23,70,0.1821,23.94
Invasive,Papoose,High,H2,10.25,22,70,0.1679,23.94
Invasive,Papoose,High,H1,9.5,21.5,70,0.1714,23.94
Invasive,Papoose,High,H9,10,21.25,70,0.1607,24.03
Invasive,Papoose,High,H4,10.75,24.75,70,0.2,24.03
Invasive,Papoose,High,H2,12,23.25,70,0.1607,24.03
Invasive,Papoose,High,H1,9.5,24.75,70,0.2179,24.03
Invasive,Papoose,High,H10,9.75,21.5,70,0.1679,24.03
Invasive,Big,Papoose,P5,8.25,28.5,70,0.2893,23.96
Invasive,Big,Papoose,P1,8.25,28.5,70,0.2893,23.96
Invasive,Big,Papoose,P7,10.25,31,70,0.2964,24.11
Invasive,Big,Papoose,P5,11,35,70,0.3429,24.11
Invasive,Big,Papoose,P3,9,33,70,0.3429,24.11
Invasive,Big,Papoose,P1,8.5,29,70,0.2929,24.11
Invasive,High,Papoose,P5,10.75,32,70,0.3036,23.65
Invasive,High,Papoose,P1,8.25,26.25,70,0.2571,23.65
Invasive,High,Papoose,P7,10,35.5,70,0.3643,23.38
Invasive,High,Papoose,P3,9.25,33,70,0.3393,23.38
Invasive,High,Papoose,P1,8.25,33,70,0.3536,23.38
Invasive,Papoose,Papoose,P7,10.25,23,70,0.1821,23.94
Invasive,Papoose,Papoose,P7,10.25,22.25,70,0.1714,24.03
Invasive,Papoose,Papoose,P3,9.25,24,70,0.2107,24.03
Invasive,Papoose,Papoose,P1,8,22.75,70,0.2107,24.03
