sampling_site,species,length_mm,mass_g,lake
I8,lake trout,515,1400,I8
I8,lake trout,468,1100,I8
I8,lake trout,527,1550,I8
I8,lake trout,525,1350,I8
I8,lake trout,517,1300,I8
I8,lake trout,607,2100,I8
I8,lake trout,325,260,I8
I8,lake trout,428,600,I8
I8,lake trout,297,205,I8
I8,lake trout,327,265,I8
I8,lake trout,334,300,I8
I8,lake trout,383,210,I8
I8,lake trout,450,873,I8
I8,lake trout,480,1000,I8
I8,lake trout,440,735,I8
I8,lake trout,447,985,I8
I8,lake trout,450,825,I8
I8,lake trout,427,795,I8
I8,lake trout,386,535,I8
I8,lake trout,373,435,I8
I8,lake trout,360,375,I8
I8,lake trout,412,638,I8
I8,lake trout,472,1021,I8
I8,lake trout,467,985,I8
I8,lake trout,475,1000,I8
I8,lake trout,470,1000,I8
I8,lake trout,343,833,I8
I8,lake trout,264,155,I8
I8,lake trout,820,6212,I8
I8,lake trout,556,1475,I8
I8,lake trout,221,84,I8
I8,lake trout,363,395,I8
I8,lake trout,476,1000,I8
I8,lake trout,505,1250,I8
I8,lake trout,501,1250,I8
I8,lake trout,432,695,I8
I8,lake trout,348,350,I8
I8,lake trout,456,825,I8
I8,lake trout,558,1035,I8
I8,lake trout,465,925,I8
I8,lake trout,365,360,I8
I8,lake trout,500,1100,I8
I8,lake trout,632,2500,I8
I8,lake trout,424,NA,I8
I8,lake trout,405,650,I8
I8,lake trout,256,170,I8
I8,lake trout,282,172,I8
I8,lake trout,477,885,I8
I8,lake trout,478,1200,I8
I8,lake trout,450,740,I8
I8,lake trout,378,425,I8
I8,lake trout,410,600,I8
I8,lake trout,404,595,I8
I8,lake trout,420,645,I8
I8,lake trout,377,450,I8
I8,lake trout,405,570,I8
I8,lake trout,506,1150,I8
I8,lake trout,495,1050,I8
I8,lake trout,422,635,I8
I8,lake trout,370,380,I8
I8,lake trout,361,365,I8
I8,lake trout,610,2500,I8
I8,lake trout,445,740,I8
I8,lake trout,469,820,I8
I8,lake trout,237,100,I8
I8,lake trout,300,211,I8
I8,lake trout,481,1030,I8
I8,lake trout,423,670,I8
I8,lake trout,491,920,I8
I8,lake trout,456,760,I8
I8,lake trout,446,775,I8
I8,lake trout,488,1000,I8
I8,lake trout,434,710,I8
I8,lake trout,332,280,I8
I8,lake trout,484,750,I8
I8,lake trout,505,1150,I8
I8,lake trout,400,490,I8
I8,lake trout,452,770,I8
I8,lake trout,445,760,I8
I8,lake trout,508,1230,I8
I8,lake trout,483,565,I8
I8,lake trout,525,1600,I8
I8,lake trout,403,495,I8
I8,lake trout,393,455,I8
I8,lake trout,431,695,I8
I8,lake trout,485,950,I8
I8,lake trout,507,990,I8
Island Lake,lake trout,640,2600,Island Lake
Island Lake,lake trout,650,2350,Island Lake
Island Lake,lake trout,585,2200,Island Lake
Island Lake,lake trout,720,3950,Island Lake
Island Lake,lake trout,880,6800,Island Lake
Island Lake,lake trout,830,3200,Island Lake
Island Lake,lake trout,590,2200,Island Lake
Island Lake,lake trout,636,1850,Island Lake
Island Lake,lake trout,875,4850,Island Lake
Island Lake,lake trout,576,1650,Island Lake
