site,lake,species,length_mm,mass_g
113,I3,arctic grayling,266,135
113,I3,arctic grayling,290,185
113,I3,arctic grayling,262,145
113,I3,arctic grayling,275,160
113,I3,arctic grayling,240,105
113,I3,arctic grayling,265,145
113,I3,arctic grayling,265,150
113,I3,arctic grayling,253,130
113,I3,arctic grayling,246,130
113,I3,arctic grayling,203,71
113,I3,arctic grayling,289,179
113,I3,arctic grayling,239,108
113,I3,arctic grayling,276,170
113,I3,arctic grayling,256,130
113,I3,arctic grayling,289,191
113,I3,arctic grayling,260,150
113,I3,arctic grayling,310,210
113,I3,arctic grayling,300,210
113,I3,arctic grayling,275,170
113,I3,arctic grayling,310,215
113,I3,arctic grayling,280,185
113,I3,arctic grayling,315,230
113,I3,arctic grayling,320,230
113,I3,arctic grayling,280,260
113,I3,arctic grayling,276,170
113,I3,arctic grayling,280,120
113,I3,arctic grayling,263,150
113,I3,arctic grayling,266,160
113,I3,arctic grayling,287,180
113,I3,arctic grayling,280,175
113,I3,arctic grayling,265,140
113,I3,arctic grayling,314,225
113,I3,arctic grayling,266,138
113,I3,arctic grayling,255,135
113,I3,arctic grayling,194,60
113,I3,arctic grayling,266,136
113,I3,arctic grayling,285,185
113,I3,arctic grayling,196,57
113,I3,arctic grayling,266,137
113,I3,arctic grayling,273,150
113,I3,arctic grayling,252,125
113,I3,arctic grayling,247,120
113,I3,arctic grayling,262,145
113,I3,arctic grayling,259,149
113,I3,arctic grayling,203,72
113,I3,arctic grayling,276,160
113,I3,arctic grayling,283,178
113,I3,arctic grayling,256,129
113,I3,arctic grayling,194,61
113,I3,arctic grayling,287,170
113,I3,arctic grayling,272,155
113,I3,arctic grayling,292,183
113,I3,arctic grayling,191,53
113,I3,arctic grayling,260,142
113,I3,arctic grayling,291,180
113,I3,arctic grayling,260,140
113,I3,arctic grayling,255,130
113,I3,arctic grayling,264,135
113,I3,arctic grayling,271,133
113,I3,arctic grayling,293,200
113,I3,arctic grayling,263,139
113,I3,arctic grayling,273,160
113,I3,arctic grayling,258,136
113,I3,arctic grayling,249,135
113,I3,arctic grayling,247,115
113,I3,arctic grayling,276,176
118,I8,arctic grayling,345,375
118,I8,arctic grayling,376,485
118,I8,arctic grayling,417,600
118,I8,arctic grayling,369,445
118,I8,arctic grayling,419,625
118,I8,arctic grayling,365,430
118,I8,arctic grayling,320,335
118,I8,arctic grayling,385,520
118,I8,arctic grayling,299,235
118,I8,arctic grayling,340,380
118,I8,arctic grayling,270,185
118,I8,arctic grayling,335,355
118,I8,arctic grayling,346,410
118,I8,arctic grayling,369,460
118,I8,arctic grayling,333,380
118,I8,arctic grayling,365,475
118,I8,arctic grayling,373,440
118,I8,arctic grayling,355,420
118,I8,arctic grayling,394,620
118,I8,arctic grayling,375,450
118,I8,arctic grayling,390,545
118,I8,arctic grayling,363,495
118,I8,arctic grayling,330,365
118,I8,arctic grayling,373,485
118,I8,arctic grayling,333,360
118,I8,arctic grayling,217,100
118,I8,arctic grayling,366,470
118,I8,arctic grayling,279,220
118,I8,arctic grayling,323,315
118,I8,arctic grayling,374,495
118,I8,arctic grayling,340,415
118,I8,arctic grayling,373,495
118,I8,arctic grayling,362,450
118,I8,arctic grayling,405,610
118,I8,arctic grayling,383,588
118,I8,arctic grayling,429,707
118,I8,arctic grayling,380,535
118,I8,arctic grayling,420,563
118,I8,arctic grayling,392,565
118,I8,arctic grayling,413,645
118,I8,arctic grayling,374,505
118,I8,arctic grayling,435,795
118,I8,arctic grayling,438,815
118,I8,arctic grayling,408,680
118,I8,arctic grayling,360,475
118,I8,arctic grayling,392,617
118,I8,arctic grayling,326,366
118,I8,arctic grayling,391,597
118,I8,arctic grayling,420,732
118,I8,arctic grayling,427,759
118,I8,arctic grayling,377,543
118,I8,arctic grayling,403,625
118,I8,arctic grayling,402,634
118,I8,arctic grayling,289,215
118,I8,arctic grayling,439,889
118,I8,arctic grayling,433,800
118,I8,arctic grayling,402,647
118,I8,arctic grayling,389,632
118,I8,arctic grayling,402,612
118,I8,arctic grayling,420,780
118,I8,arctic grayling,335,447
118,I8,arctic grayling,207,68
118,I8,arctic grayling,216,86
118,I8,arctic grayling,279,210
118,I8,arctic grayling,384,533
118,I8,arctic grayling,285,215
118,I8,arctic grayling,367,540
118,I8,arctic grayling,378,560
118,I8,arctic grayling,295,251
118,I8,arctic grayling,301,249
118,I8,arctic grayling,390,589
118,I8,arctic grayling,371,510
118,I8,arctic grayling,359,518
118,I8,arctic grayling,367,505
118,I8,arctic grayling,402,675
118,I8,arctic grayling,375,515
118,I8,arctic grayling,420,770
118,I8,arctic grayling,406,675
118,I8,arctic grayling,199,NA
118,I8,arctic grayling,410,640
118,I8,arctic grayling,342,400
118,I8,arctic grayling,410,650
118,I8,arctic grayling,390,565
118,I8,arctic grayling,362,430
118,I8,arctic grayling,401,615
118,I8,arctic grayling,401,620
118,I8,arctic grayling,349,349
118,I8,arctic grayling,431,715
118,I8,arctic grayling,331,360
118,I8,arctic grayling,440,720
118,I8,arctic grayling,368,400
118,I8,arctic grayling,315,250
118,I8,arctic grayling,399,450
118,I8,arctic grayling,345,345
118,I8,arctic grayling,370,480
118,I8,arctic grayling,377,NA
118,I8,arctic grayling,376,450
118,I8,arctic grayling,348,370
118,I8,arctic grayling,345,360
118,I8,arctic grayling,286,200
118,I8,arctic grayling,287,210
118,I8,arctic grayling,244,110
