lake,date,depth_m,corrected_chl_ug_l,total_chl_ug_l,pheo_ug_l,po4_u_m,no3_u_m,tdn_u_m,tn_u_m,tp_u_m,tdp_u_m,pp_ug_l,pn_ug_l,pc_ug_l,alk_meq_l
Toolik,2010-05-07T00:00:00Z,3,NA,NA,NA,NA,NA,16.1028903,15.9,NA,NA,NA,NA,NA,0.812
Toolik,2010-05-07T00:00:00Z,16,NA,NA,NA,NA,NA,17.45319446,17.2,NA,NA,NA,NA,NA,0.846
Toolik,2010-06-18T00:00:00Z,0,4.36,4.67,0.59,0.04,0.39,11.82110068,16.232709242350555,NA,0.09,NA,61.8,488.88,0.631
Toolik,2010-06-18T00:00:00Z,1,4.4,4.64,0.47,0.05,0.45,11.54264789,15.827818521113596,NA,0.07,NA,60.03,473.68,0.633
Toolik,2010-06-18T00:00:00Z,3,3.58,3.74,0.29,0.03,0.62,11.35329999,16.439244185614335,NA,0.07,NA,71.24,502.9,0.627
Toolik,2010-06-18T00:00:00Z,5,3.45,3.68,0.44,0.04,0.93,11.70971957,15.362700544928806,NA,0.07,NA,51.17,404.6,0.632
Toolik,2010-06-18T00:00:00Z,8,1.74,1.85,0.23,0.03,1.65,11.82110068,14.926183952901987,NA,0.07,NA,43.5,320.51,0.652
Toolik,2010-06-18T00:00:00Z,12,0.95,1.08,0.24,0.04,1.87,12.68987341,15.162767026717194,NA,0.05,NA,34.64,295.84,0.67
Toolik,2010-06-18T00:00:00Z,16,1.15,1.29,0.26,0.04,2.45,13.46954124,15.689558994243278,NA,0.04,NA,31.1,268.6,0.693
Toolik,2010-06-18T00:00:00Z,20,0.88,1.02,0.26,0.04,2.4,13.55864613,15.94724779255922,NA,0.05,NA,33.46,281.63,0.712
Toolik,2010-06-18T00:00:00Z,1,4.4,4.62,0.43,0.05,0.45,NA,NA,NA,0.08,NA,58.26,440.32,NA
I1,2010-06-22T00:00:00Z,1,0.53,0.64,0.21,0.02,0.2,11.2139626,13.70964408412456,NA,0.08,NA,34.96,297.55,0.249
I1,2010-06-22T00:00:00Z,5,1.38,1.58,0.37,0.01,0.19,12.30505542,15.831598463691847,NA,NA,NA,49.4,401.83,0.252
I1,2010-06-22T00:00:00Z,9,3.78,4.3,1.02,0.04,0.2,11.258497,15.962840896746293,NA,NA,NA,65.9,498.97,0.255
I2,2010-06-22T00:00:00Z,1,0.69,0.84,0.29,0.04,0.28,16.11274669,19.087838663398028,NA,0.12,NA,41.68,312.4,0.204
I2,2010-06-22T00:00:00Z,4,3.17,3.47,0.57,0.02,0.26,13.88602665,18.171197281113596,NA,0.05,NA,60.03,425.52,0.212
I2,2010-06-22T00:00:00Z,14,0.61,0.8,0.35,0.03,1.27,15.06618827,17.656208983283825,NA,0.06,NA,36.28,358.96,0.221
I3,2010-06-22T00:00:00Z,1,0.68,0.79,0.21,0.09,0.11,11.2362298,15.059509562112623,NA,0.04,NA,53.56,420.52,0.217
I3,2010-06-22T00:00:00Z,3,2.23,2.58,0.67,0.06,0.02,12.63906343,16.24989842784982,NA,0.07,NA,50.58,395.52,0.22
I4,2010-06-22T00:00:00Z,1,1.44,1.67,0.43,0.04,NA,14.46497386,20.193891427131376,NA,0.01,NA,80.25,638.26,0.208
I4,2010-06-22T00:00:00Z,4,4.44,5.16,1.39,0.06,0.07,12.59452903,19.15133904114786,NA,0.05,NA,91.84,786.54,0.227
I4,2010-06-22T00:00:00Z,6,3.76,4.46,1.38,0.06,0.14,13.41841544,20.565269130253668,NA,0.07,NA,100.11,905.83,0.229
I5,2010-06-22T00:00:00Z,1,1.21,1.34,0.25,0.1,0.01,12.92853703,16.08801765311859,NA,0.04,NA,44.26,373.54,0.198
