npp,age,biomass,season,temp,precip,teb,leaf
2084,104.429,18198.4,11,25.28333333,1888,0.55,broadleaf
2234,333.268,54522.6,12,26.91666667,2348.5,0.6,broadleaf
2714,213.382,41357.8,12,26.91666667,2348.5,0.6,broadleaf
2828,114.231,31556.8,12,26.725,2784.4,1.25,broadleaf
2882,113.477,21417,12,26.725,2784.4,1.25,broadleaf
774,79,11188,3,-3.533333333,407.8,1.8,broadleaf
1052,60,24520,6,7.991666667,1128.7,2.05,broadleaf
3100,60.697,16020.4,12,24.08333333,1079.3,2.05,broadleaf
2254,100.659,16552.8,12,24.08333333,1079.3,2.05,broadleaf
785,23,7380,6,5.3,2032.6,2.05,needle
1673,180,58330,6,5.3,2032.6,2.05,needle
630,20,2520,5,6.766666667,857.4,2.05,needle
920,100,32300,5,6.766666667,857.4,2.05,needle
1080,105,41100,5,6.766666667,857.4,2.05,needle
820,110,34600,5,6.766666667,857.4,2.05,needle
633,250,40000,5,6.766666667,857.4,2.05,needle
1530,103,49200,5,5.741666667,700.4,2.05,needle
1400,103,50600,5,5.741666667,700.4,2.05,needle
1600,103,54400,5,5.741666667,700.4,2.05,needle
990,105,34500,5,6.033333333,893.3,2.05,needle
1310,103,48800,5,5.741666667,700.4,2.05,needle
1570,103,50000,5,5.741666667,700.4,2.05,needle
1360,103,52900,5,5.741666667,700.4,2.05,needle
1560,103,61800,5,5.741666667,700.4,2.05,needle
2000,103,79400,5,5.741666667,700.4,2.05,needle
1675,450,91540,6,8.091666667,1603.8,2.05,needle
2352,23,7923,6,5.3,2032.6,2.05,needle
2487,180,59148,6,5.3,2032.6,2.05,needle
1936,10,7120,6,6.991666667,2380.2,2.05,needle
1428,40,31061,6,6.991666667,2380.2,2.05,needle
1218,40,41062,6,6.991666667,2380.2,2.05,needle
1719,70,41170,6,6.991666667,2380.2,2.05,needle
1905,70,47344,6,6.991666667,2380.2,2.05,needle
2989,47,39236,12,19.05,1590.7,2.2,broadleaf
2371,41,22451,12,21.64166667,1660.1,2.2,broadleaf
2168,110,57285,12,23.63333333,1820.1,2.2,broadleaf
1719,22,10090,12,22.94166667,1688.2,2.2,broadleaf
1923,49,32458,12,24.64166667,1233.5,2.2,broadleaf
1141,16,7562,12,21.64166667,89.6,2.2,needle
2346,25,18739,12,13.80833333,1174.1,2.4,broadleaf
1213,34,11415,9,15.3,1218.6,2.4,broadleaf
684,36,6746,12,17.25,1276.5,2.4,broadleaf
1843,42,15895,12,18.04166667,1368.5,2.4,broadleaf
1498,30,15976,9,15.3,106.7,2.4,needle
2038,18,14663,12,16.88333333,103.7,2.4,needle
1194,48,15426,9,14.46666667,1325.2,2.4,needle
1175,34,12887,9,15.3,1218.6,2.4,needle
3044,22,20635,12,23.81666667,1631.1,2.45,broadleaf
1785,28,15350,11,15.475,1629.7,2.45,broadleaf
2724,49,32437,12,16.83333333,1558.8,2.45,broadleaf
2720,97,53173,12,22.8,1696.9,2.45,broadleaf
844,140,31090,10,9.775,758,2.55,broadleaf
1890,90,35500,8,7.741666667,638.8,2.6,broadleaf
1720,90,37360,8,7.741666667,638.8,2.6,broadleaf
1340,100,25900,8,7.741666667,638.8,2.6,broadleaf
1066,40,11410,6,3.5,555.1,2.65,broadleaf
348,28,2410,6,3.275,601.3,2.65,needle
680,45,9210,6,3.275,601.3,2.65,needle
530,47,5170,6,3.275,601.3,2.65,needle
424,260,13318,4,-1.016666667,558.1,2.65,needle
2509,50,29779,12,18.575,1584.4,2.7,broadleaf
1823,25,15202,12,20.14166667,1600.7,2.7,broadleaf
2191,27,17346,12,18.09166667,1685.6,2.7,broadleaf
1268,85,23709,12,17.73333333,988.4,2.7,broadleaf
1099,71,19560,12,18.88333333,145.1,2.7,needle
791,27,6575,12,15.85,1159.7,3.15,broadleaf
1783,51,27290,12,17.66666667,1462.4,3.15,broadleaf
2350,35,23084,12,16.11666667,1718.4,3.15,broadleaf
1644,40,20723,12,16.11666667,1718.4,3.15,broadleaf
1321,60,22046,11,14.55,1722.5,3.15,broadleaf
2013,32,21627,12,15.425,1725.1,3.15,broadleaf
1491,44,22574,12,18.18333333,1328.5,3.15,broadleaf
1554,20,10816,12,19.19166667,1047,3.15,broadleaf
2315,81,38807,12,15.74166667,1696.9,3.15,broadleaf
1641,20,11253,12,15.83333333,1392.6,3.15,broadleaf
985,50,12671,12,15.83333333,1392.6,3.15,broadleaf
1337,40,14298,12,15.375,1266.7,3.15,broadleaf
1426,35,13802,11,14.375,1308.8,3.15,broadleaf
1438,22,10463,12,15.375,1266.7,3.15,broadleaf
1450,40,15573,12,15.375,1266.7,3.15,broadleaf
1775,20,12802,11,13.76666667,1266.8,3.15,broadleaf
2136,41,24023,12,15.34166667,1210.2,3.15,broadleaf
1066,30,9765,12,15.53333333,1247.5,3.15,broadleaf
3034,39,32869,11,15.15,1492.7,3.15,broadleaf
1828,65,28051,11,14.35,1252.6,3.15,broadleaf
2682,50,33300,12,15.575,1385.4,3.15,broadleaf
2051,20,14078,10,12.7,1358.9,3.15,broadleaf
1030,80,20094,11,14.375,1308.8,3.15,broadleaf
1205,25,9667,12,16.7,1356.7,3.15,broadleaf
1131,30,10246,12,15.85833333,1401,3.15,broadleaf
2898,25,26020,12,15.86666667,1401,3.15,broadleaf
736,30,7549,12,17.53333333,1381.7,3.15,broadleaf
952,50,11907,12,17.53333333,1381.7,3.15,broadleaf
1128,40,12061,12,16.73333333,1351.8,3.15,broadleaf
