year,lake,trap_orig,trap,species,species_hyb,sex,form,caralen,source_sheet,type,clength,ex
1990,TROUT L,1,1,OP,OP,M,1,30,1990,NA,NA,NA
1990,TROUT L,1,1,OR,OR,M,1,41,1990,NA,NA,NA
1990,TROUT L,1,1,OR,OR,M,1,32.5,1990,NA,NA,NA
1990,TROUT L,1,1,OR,OR,M,1,36.5,1990,NA,NA,NA
1990,TROUT L,1,1,0R,0R,M,1,39,1990,NA,NA,NA
1990,TROUT L,1,1,OR,OR,M,1,38,1990,NA,NA,NA
1990,TROUT L,2,2,OV,OV,M,1,31,1990,NA,NA,NA
1990,TROUT L,2,2,OV,OV,M,1,38,1990,NA,NA,NA
1990,TROUT L,2,2,OV,OV,F,0,30,1990,NA,NA,NA
1990,TROUT L,2,2,OP,OP,M,1,30,1990,NA,NA,NA
1990,TROUT L,2,2,OP,OP,F,0,26,1990,NA,NA,NA
1990,TROUT L,2,2,OR,OR,M,1,32,1990,NA,NA,NA
1990,TROUT L,2,2,OR,OR,M,1,32,1990,NA,NA,NA
1990,TROUT L,2,2,OR,OR,F,0,29,1990,NA,NA,NA
1990,TROUT L,3,3,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,3,3,OP,OP,F,0,29,1990,NA,NA,NA
1990,TROUT L,3,3,OR,OR,F,0,44,1990,NA,NA,NA
1990,TROUT L,3,3,OR,OR,F,0,41,1990,NA,NA,NA
1990,TROUT L,3,3,OR,OR,F,0,37,1990,NA,NA,NA
1990,TROUT L,3,3,OR,OR,F,0,29,1990,NA,NA,NA
1990,TROUT L,4,4,OP,OP,M,1,39,1990,NA,NA,NA
1990,TROUT L,4,4,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,4,4,OR,OR,F,0,45,1990,NA,NA,NA
1990,TROUT L,6,6,OP,OP,M,1,37,1990,NA,NA,NA
1990,TROUT L,6,6,OP,OP,M,1,39,1990,NA,NA,NA
1990,TROUT L,7,7,OV,OV,M,1,34,1990,NA,NA,NA
1990,TROUT L,7,7,OP,OP,M,1,38,1990,NA,NA,NA
1990,TROUT L,7,7,OP,OP,F,0,36,1990,NA,NA,NA
1990,TROUT L,8,8,OV,OV,M,1,44,1990,NA,NA,NA
1990,TROUT L,8,8,OV,OV,M,1,47,1990,NA,NA,NA
1990,TROUT L,8,8,OV,OV,M,1,48,1990,NA,NA,NA
1990,TROUT L,8,8,OV,OV,M,1,48,1990,NA,NA,NA
1990,TROUT L,8,8,OP,OP,M,1,38,1990,NA,NA,NA
1990,TROUT L,8,8,OP,OP,M,1,41,1990,NA,NA,NA
1990,TROUT L,8,8,OP,OP,M,1,35,1990,NA,NA,NA
1990,TROUT L,8,8,OP,OP,M,1,35,1990,NA,NA,NA
1990,TROUT L,8,8,OR,OR,M,1,52,1990,NA,NA,NA
1990,TROUT L,8,8,OR,OR,M,1,39,1990,NA,NA,NA
1990,TROUT L,8,8,OR,OR,F,0,49,1990,NA,NA,NA
1990,TROUT L,9,9,OV,OV,M,1,48,1990,NA,NA,NA
1990,TROUT L,9,9,OV,OV,M,1,50,1990,NA,NA,NA
1990,TROUT L,9,9,OV,OV,M,1,48,1990,NA,NA,NA
1990,TROUT L,9,9,OV,OV,F,0,40,1990,NA,NA,NA
1990,TROUT L,9,9,OV,OV,F,0,42,1990,NA,NA,NA
1990,TROUT L,9,9,OV,OV,F,0,41,1990,NA,NA,NA
1990,TROUT L,9,9,OV,OV,F,0,34,1990,NA,NA,NA
1990,TROUT L,9,9,OP,OP,M,1,37,1990,NA,NA,NA
1990,TROUT L,9,9,OP,OP,F,0,24,1990,NA,NA,NA
1990,TROUT L,9,9,OP,OP,F,0,29,1990,NA,NA,NA
1990,TROUT L,10,10,OV,OV,M,1,48,1990,NA,NA,NA
1990,TROUT L,10,10,OV,OV,M,1,48,1990,NA,NA,NA
1990,TROUT L,10,10,OV,OV,M,1,42,1990,NA,NA,NA
1990,TROUT L,10,10,OP,OP,M,1,39,1990,NA,NA,NA
1990,TROUT L,10,10,OP,OP,M,1,36,1990,NA,NA,NA
1990,TROUT L,10,10,OP,OP,M,1,35,1990,NA,NA,NA
1990,TROUT L,11,11,OV,OV,M,1,49,1990,NA,NA,NA
1990,TROUT L,11,11,OV,OV,M,1,50,1990,NA,NA,NA
1990,TROUT L,11,11,OV,OV,M,1,49,1990,NA,NA,NA
1990,TROUT L,11,11,OV,OV,M,1,45,1990,NA,NA,NA
1990,TROUT L,11,11,OP,OP,M,1,43,1990,NA,NA,NA
1990,TROUT L,11,11,OP,OP,M,1,34,1990,NA,NA,NA
1990,TROUT L,12,12,OV,OV,M,1,41,1990,NA,NA,NA
1990,TROUT L,12,12,OV,OV,M,1,35,1990,NA,NA,NA
1990,TROUT L,12,12,OV,OV,M,1,39,1990,NA,NA,NA
1990,TROUT L,12,12,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,12,12,OP,OP,M,1,36,1990,NA,NA,NA
1990,TROUT L,12,12,OR,OR,M,1,37,1990,NA,NA,NA
1990,TROUT L,14,20,OV,OV,M,1,44,1990,NA,NA,NA
1990,TROUT L,14,20,OP,OP,M,1,37,1990,NA,NA,NA
