crayfish.id,species,lifestyle,sex,clawside,carapace.length.mm,claw.length,maxclawstr.N,PC1.claw.size
CC05,c.carinirostris,nonburrower,f,l,15.62,8.38,0.573363,-4.69E+00
CC05,c.carinirostris,nonburrower,f,r,15.62,9.07,0.915369,-4.64E+00
CC06,c.carinirostris,nonburrower,m,r,34.02,29.16,15.79263,3.68E+00
CC06,c.carinirostris,nonburrower,m,l,34.02,28.34,18.840507,2.51E+00
CC07,c.carinirostris,nonburrower,m,l,24,14.63,7.333011,-1.13E+00
CC07,c.carinirostris,nonburrower,m,r,24,14.58,9.012864,-1.25E+00
CC08,c.carinirostris,nonburrower,m,r,17.21,7.57,3.842538,-1.90E+00
CC08,c.carinirostris,nonburrower,m,l,17.21,9.28,10.76313,1.03E+00
CC09,c.carinirostris,nonburrower,f,l,35.38,21.95,7.976787,1.77E+00
CC09,c.carinirostris,nonburrower,f,r,35.38,25.78,11.698617,1.39E+00
CC10,c.carinirostris,nonburrower,m,r,34.16,25.06,9.495696,9.30E-01
CC10,c.carinirostris,nonburrower,m,l,34.16,24.68,14.122836,2.01E+00
CC100,c.carinirostris,nonburrower,m,l,24.62,15.59,8.610504,-2.41E+00
CC100,c.carinirostris,nonburrower,m,r,24.62,15.87,11.86962,-2.17E+00
CC102,c.carinirostris,nonburrower,f,r,20.56,12.79,3.510591,-3.40E+00
CC102,c.carinirostris,nonburrower,f,l,20.56,12.52,5.93481,-3.12E+00
CC103,c.carinirostris,nonburrower,f,l,24.22,13.07,4.667376,-2.88E+00
CC103,c.carinirostris,nonburrower,f,r,24.22,14.73,5.160267,-2.39E+00
CC104,c.carinirostris,nonburrower,f,r,25.42,17.22,4.908792,-1.58E+00
CC104,c.carinirostris,nonburrower,f,l,25.42,16.96,10.572009,-1.72E+00
CC105,c.carinirostris,nonburrower,f,l,33.95,19.11,5.170326,-9.51E-01
CC105,c.carinirostris,nonburrower,f,r,33.95,22.22,13.247703,1.76E-01
CC106,c.carinirostris,nonburrower,f,l,16,9.59,1.066254,-4.55E+00
CC106,c.carinirostris,nonburrower,f,r,16,9.49,21.274785,-4.37E+00
CC107,c.carinirostris,nonburrower,f,r,30.61,20.81,1.237257,-7.94E-02
CC107,c.carinirostris,nonburrower,f,l,30.61,20.05,4.234839,-3.60E-01
CC108,c.carinirostris,nonburrower,f,r,34.81,22.66,10.119354,1.53E-01
CC108,c.carinirostris,nonburrower,f,l,34.81,23.97,17.462424,3.93E-01
CC109,c.carinirostris,nonburrower,m,r,28.42,18.75,11.779089,-9.26E-01
CC109,c.carinirostris,nonburrower,m,l,28.42,18.46,13.650063,-9.61E-01
CC110,c.carinirostris,nonburrower,f,l,19.12,10.97,2.565045,-3.72E+00
CC110,c.carinirostris,nonburrower,f,r,19.12,11.11,14.857143,-3.78E+00
CC111,c.carinirostris,nonburrower,m,r,33.65,21.09,4.32537,1.88E+00
CC111,c.carinirostris,nonburrower,m,l,33.65,26.08,12.986169,1.66E+00
CC112,c.carinirostris,nonburrower,m,l,38.19,30.7,14.032305,2.11E+00
CC112,c.carinirostris,nonburrower,m,r,38.19,31.96,20.671245,2.66E+00
CC113,c.carinirostris,nonburrower,f,r,41.3,31.43,17.190831,2.74E+00
CC113,c.carinirostris,nonburrower,f,l,41.3,30.22,23.859948,2.82E+00
CC115,c.carinirostris,nonburrower,f,l,32.79,21.44,17.381952,9.93E-02
CC115,c.carinirostris,nonburrower,f,r,32.79,21.75,23.900184,-1.20E-01
CC12,c.carinirostris,nonburrower,m,l,26.01,14.91,1.740207,-2.19E+00
CC12,c.carinirostris,nonburrower,m,r,26.01,16.73,16.49676,-1.86E+00
CC13,c.carinirostris,nonburrower,f,l,28.68,17.39,8.308734,-5.11E-01
CC13,c.carinirostris,nonburrower,f,r,28.68,18.2,17.925138,-9.41E-01
CC14,c.carinirostris,nonburrower,m,l,18.68,10.46,3.057936,-2.59E+00
CC14,c.carinirostris,nonburrower,m,r,18.68,10.76,5.793984,-3.14E+00
CC15,c.carinirostris,nonburrower,m,l,25.88,16.95,8.399265,-7.76E-01
CC15,c.carinirostris,nonburrower,m,r,25.88,15.06,8.680917,-6.58E-01
CC16,c.carinirostris,nonburrower,f,r,22.22,10.97,3.037818,-3.43E+00
CC16,c.carinirostris,nonburrower,f,l,22.22,14.03,5.371506,-1.99E+00
CC17,c.carinirostris,nonburrower,f,r,37.28,28.38,1.659735,4.51E+00
CC17,c.carinirostris,nonburrower,f,l,37.28,27.61,16.879002,4.13E+00
CC18,c.carinirostris,nonburrower,f,r,31.85,23.19,0.663894,4.92E-01
CC18,c.carinirostris,nonburrower,f,l,31.85,22.63,15.541155,1.03E+00
CC19,c.carinirostris,nonburrower,f,l,34.59,23.33,16.446465,1.09E+00
CC19,c.carinirostris,nonburrower,f,r,34.59,23.15,20.178354,4.82E-01
CC21,c.carinirostris,nonburrower,m,l,25.15,14.08,1.217139,-2.48E+00
CC21,c.carinirostris,nonburrower,m,r,25.15,17.38,15.702099,-1.49E+00
CC22,c.carinirostris,nonburrower,f,l,22.12,13.1,2.363865,-2.46E+00
CC22,c.carinirostris,nonburrower,f,r,22.12,12.2,18.096141,-3.56E+00
CC23,c.carinirostris,nonburrower,m,l,17.18,9.93,1.458555,-3.57E+00
CC23,c.carinirostris,nonburrower,m,r,17.18,9.84,9.495696,-3.94E+00
CC26,c.carinirostris,nonburrower,f,r,30.18,21.3,1.50885,1.67E-03
CC26,c.carinirostris,nonburrower,f,l,30.18,21.07,12.453042,9.03E-01
CC27,c.carinirostris,nonburrower,f,r,26.69,16.94,1.850856,-1.56E+00
CC27,c.carinirostris,nonburrower,f,l,26.69,15.9,2.394042,-1.43E+00
CC29,c.carinirostris,nonburrower,f,l,28.06,17.53,10.411065,-1.43E-01
CC29,c.carinirostris,nonburrower,f,r,28.06,10.03,13.841184,-3.63E+00
CC30,c.carinirostris,nonburrower,f,r,33.96,24.66,4.707612,1.47E+00
CC30,c.carinirostris,nonburrower,f,l,33.96,24.19,17.552955,7.88E-01
CC32,c.carinirostris,nonburrower,m,r,26.51,17.95,0.352065,-8.43E-01
CC32,c.carinirostris,nonburrower,m,l,26.51,17.46,4.576845,-7.88E-01
CC33,c.carinirostris,nonburrower,m,l,33.11,18.23,11.406906,2.92E+00
CC33,c.carinirostris,nonburrower,m,r,33.11,25.18,13.971951,2.35E+00
CC34,c.carinirostris,nonburrower,m,r,31.92,21.33,9.908115,2.45E+00
CC34,c.carinirostris,nonburrower,m,l,31.92,24.07,11.758971,2.05E+00
CC35,c.carinirostris,nonburrower,m,l,26.21,17.74,9.083277,-8.39E-01
CC35,c.carinirostris,nonburrower,m,r,26.21,12.6,11.587968,-2.73E+00
CC36,c.carinirostris,nonburrower,f,r,31.26,20.51,6.095754,6.54E-01
CC36,c.carinirostris,nonburrower,f,l,31.26,20.59,11.980269,6.96E-01
CC37,c.carinirostris,nonburrower,m,l,17.69,10.07,0.452655,-3.14E+00
CC37,c.carinirostris,nonburrower,m,r,17.69,10.17,0.865074,-2.17E+00
CC38,c.carinirostris,nonburrower,f,l,36,21.67,7.101654,1.00E+00
CC38,c.carinirostris,nonburrower,f,r,36,26.35,11.427024,4.53E+00
CC39,c.carinirostris,nonburrower,f,r,16.57,9.8,0.523068,-3.43E+00
CC39,c.carinirostris,nonburrower,f,l,16.57,9.44,1.418319,-3.36E+00
CC40,c.carinirostris,nonburrower,m,r,35.9,27.41,13.821066,3.44E+00
CC40,c.carinirostris,nonburrower,m,l,35.9,28.39,15.008028,3.49E+00
