lake,longitude_utm,latitude_utm,state,source,state_lake_id,epa_lake_id,date,year,CHL_ugL,TN_ugL,TP_ugL,Area_km2,Z_mean_m,Watershed_km2,AgUrb.prop
Lacey Keosauqua Park Lake,337515.3573,1973360.273,IA,IADNR_ISU,50,IA050,8/4/04,2004,11.15,2714,22.14,8.35,3.561,2.984,low
Lake Geode,385680.9889,1987586.991,IA,IADNR_ISU,55,IA055,8/3/04,2004,10.63,1651,20.79,71.281,7.216,41.021,low
Alcona Dam Pond,962961.0591,2459748.812,MI,MI_STORET,1_4,MI1_4,8/25/80,1980,2.1,219,4,392.189,5,3990.403,low
Lake Ann,801077.7228,2457101.458,MI,MI_DNR_ST,10_111,MI10_111,,2004,1,252,4,202.485,9.7,110.5,low
Lower Herring Lake,774319.8105,2437134.003,MI,MI_DNR_ST,10_24,MI10_24,,2004,4.2,377,10,180.513,8.9,58.984,low
Platte Lake,782376.3564,2451889.137,MI,MI_STORET,10_39,MI10_39,8/12/82,1982,1.7,256,7.5,1024.431,8.23,462.643,low
Crystal Lake,776794.1677,2447932.307,MI,MI_DNR_ST,10_42,MI10_42,,2004,1,178,9,3993.021,17.5,72.214,low
Thumb Lake,880207.8293,2519348.867,MI,MI_STORET,15_3,MI15_3,8/20/80,1980,0.62,822,19,206.162,9.5,19.667,low
Hoffman Lake,879707.4803,2512340.895,MI,MI_STORET,15_6,MI15_6,9/1/81,1981,1,309,7,48.141,2.6,29.04,low
Burt Lake,883854.2063,2551642.89,MI,MI_STORET,16_193,MI16_193,8/16/81,1981,1,219,6,7038.434,7.5,759.558,low
Silver Lake,889359.3094,2528999.283,MI,MI_STORET,16_82,MI16_82,8/18/80,1980,0.1,366,8,27.354,11.3,0.999,low
Long Lake,894292.9493,2397726.284,MI,MI_STORET,18_296,MI18_296,9/16/81,1981,2,631,13,84.169,4.4,13.384,low
Fish Lake,722547.4783,2617206.41,MI,MI_STORET,2_27,MI2_27,8/27/75,1975,8.1,397,17,48.698,5,65.439,low
Au Train Lake,705326.9268,2635668.75,MI,MI_DNR_ST,2_361,MI2_361,,2002,6,520,20,341.297,3.62,286.111,low
Grand Sable Lake,763794.9422,2667737.847,MI,MI_DNR_ST,2_775,MI2_775,,2004,2.9,230,3.9,265.36,10.4,41.048,low
Section One Lake,896117.2377,2482762.069,MI,MI_DNR_ST,20_105,MI20_105,,2002,3,890,10,23.79,2.5,4.429,low
KP Lake,902294.6965,2476751.353,MI,MI_STORET,20_94,MI20_94,8/29/77,1977,3.6,413,8,44.211,3.5,15.806,low
Skeels Lake,724472.1702,2610157.23,MI,MI_STORET,21_468,MI21_468,8/27/75,1975,6,355,10,37.157,4.5,10.034,low
Hamilton Lake,638657.8599,2557145.017,MI,MI_STORET,22_15,MI22_15,8/29/79,1979,6.3,640,18,30.823,3.3,36.93,low
Sixmile Lake,626254.3274,2585970.067,MI,MI_STORET,22_188,MI22_188,8/29/79,1979,24,772,16,40.197,3,22.731,low
Silver Lake,616507.6788,2605305.69,MI,MI_DNR_ST,22_350,MI22_350,,2002,4,596,24,44.326,2.8,2.384,low
Edey Lake,613609.7291,2604569.496,MI,MI_STORET,22_368,MI22_368,8/23/77,1977,1.7,198,4,32.69,2.9,0.934,low
Carney Lake,625956.7544,2571883.874,MI,MI_STORET,22_65,MI22_65,8/26/75,1975,4.8,423,10,45.992,4,0.887,low
Pratt Lake,912601.1499,2392159.075,MI,MI_STORET,26_20,MI26_20,9/15/81,1981,1.2,691,8,76.1,3,1.471,low
Duck Lake,523986.8585,2596844.332,MI,MI_DNR_ST,27_108,MI27_108,,2003,9.2,411,19,248.942,4.1,17.747,low
Allen Lake,527555.2697,2600556.933,MI,MI_STORET,27_111,MI27_111,8/9/81,1981,1.7,416,9,31.485,4.5,6.852,low
Dinner Lake,530466.9439,2598309.661,MI,MI_DNR_ST,27_117,MI27_117,,2004,1.2,504,7,43.542,3.8,1.135,low
Taylor Lake,537203.3821,2603613.536,MI,MI_STORET,27_16,MI27_16,8/10/81,1981,9.4,480,9,44.545,5.1,10.516,low
Thousand Island Lake,509519.5501,2599732.511,MI,MI_STORET,27_265,MI27_265,8/14/80,1980,3.9,442,11,450.612,3.5,17.271,low
Cisco Lake,506466.9307,2599873.483,MI,MI_STORET,27_275,MI27_275,8/14/80,1980,35,639,40,230.791,2.4,106.4,low
Imp Lake,534854.0164,2600426.233,MI,MI_STORET,27_30,MI27_30,8/14/80,1980,1.9,289,6,36.57,9.6,1.657,low
