capture_event,animal_id,capture_date,site,mass_kg,collar_id
CE-041,f07,2018-03-25,Snoqualmie,1.4,C374
CE-038,f16,2018-04-11,Mt Rainier,5.52,C366
CE-020,f06,2018-04-29,Snoqualmie,2.06,C393
CE-001,f09,2018-05-21,Mt Rainier,2.49,C183
CE-013,f06,2018-05-30,Snoqualmie,1.4,C184
CE-009,f02,2018-06-08,Okanogan,4.21,C153
CE-007,f07,2018-07-27,Okanogan,2.16,C281
CE-018,f12,2018-12-13,Mt Rainier,2.32,C255
CE-006,f02,2018-12-21,Gifford Pinchot,4.57,C249
CE-011,f03,2018-12-23,Gifford Pinchot,2.44,C142
CE-034,f15,2019-01-05,Gifford Pinchot,2.74,C268
CE-003,f01,2019-01-19,Snoqualmie,1.5,C160
CE-024,f05,2019-03-12,Snoqualmie,4.12,C247
CE-012,f07,2019-04-06,Mt Rainier,2.1,C306
CE-026,f12,2019-05-01,Mt Rainier,3.53,C288
CE-027,f10,2019-05-16,Snoqualmie,1.93,C212
CE-036,f14,2019-06-17,Okanogan,2.83,C137
CE-044,unk,2019-08-08,Mt Rainier,1.72,C146
CE-029,f14,2019-10-05,Mt Rainier,1.99,C193
CE-045,unk,2019-11-13,Mt Rainier,3.49,C204
CE-025,f15,2019-11-28,Mt Rainier,3.31,C389
CE-042,f02,2020-02-01,Gifford Pinchot,3.88,C129
CE-019,f09,2020-02-18,Mt Rainier,3.15,C373
CE-039,f06,2020-03-29,Gifford Pinchot,2.15,C312
CE-014,f02,2020-04-19,Mt Rainier,4.14,C252
CE-037,f09,2020-05-19,Okanogan,1.4,C214
CE-022,f01,2020-06-26,Okanogan,2.23,C349
CE-017,f12,2020-06-28,Mt Rainier,3.37,C238
CE-035,f06,2020-08-28,Mt Rainier,2.93,C319
CE-002,f08,2020-08-30,Okanogan,3.62,C324
CE-005,f12,2020-10-06,Mt Rainier,2.79,C270
CE-023,f08,2020-10-24,Okanogan,3.28,C269
CE-008,f07,2020-11-20,Gifford Pinchot,5.14,C154
CE-010,f05,2020-11-23,Mt Rainier,2.22,C272
CE-016,f07,2021-02-10,Okanogan,2.98,C148
CE-028,f15,2021-04-09,Okanogan,4.97,C126
CE-032,f13,2021-05-08,Mt Rainier,4.07,C213
CE-015,f08,2021-06-17,Mt Rainier,4.44,C339
CE-043,unk,2021-08-13,Mt Rainier,2.88,C286
CE-040,f14,2021-08-26,Okanogan,1.4,C313
CE-021,f01,2021-09-29,Mt Rainier,4.92,C325
CE-033,f03,2021-12-08,Gifford Pinchot,1.99,C379
CE-030,f05,2021-12-10,Okanogan,2.29,C232
CE-004,f06,2021-12-13,Snoqualmie,4.29,C201
CE-031,f10,2021-12-26,Okanogan,4.53,C185
