fisher_id,sex,age_class,source,site,release_date
F01,F,juvenile,British Columbia,Mt Rainier,2019-05-10
F02,F,juvenile,British Columbia,Mt Rainier,2018-11-08
F03,M,adult,British Columbia,Snoqualmie,2018-02-07
F04,F,juvenile,British Columbia,Snoqualmie,2018-06-21
F05,M,adult,British Columbia,Gifford Pinchot,2018-11-09
F06,F,adult,British Columbia,Gifford Pinchot,2019-02-24
F07,F,juvenile,British Columbia,Snoqualmie,2018-11-24
F08,M,adult,British Columbia,Okanogan,2019-10-24
F09,F,juvenile,British Columbia,Gifford Pinchot,2018-11-02
F10,M,juvenile,British Columbia,Snoqualmie,2020-04-29
F11,F,adult,British Columbia,Gifford Pinchot,2018-06-09
F12,M,juvenile,British Columbia,Gifford Pinchot,2019-09-27
F13,F,juvenile,British Columbia,Okanogan,2018-12-28
F14,F,adult,British Columbia,Mt Rainier,2018-07-30
F15,M,adult,British Columbia,Okanogan,2019-06-14
F16,F,juvenile,British Columbia,Okanogan,2018-08-28
F17,M,juvenile,British Columbia,Snoqualmie,2019-06-02
F18,F,adult,British Columbia,Mt Rainier,2019-01-04
