light,leaf.area,ls,rs,lasym,day,patch,shade
7.7,22290.535,76,92,0.191055237,a,p1,1
7.325,28130.801,85,91,0.06820825,a,p1,1
5.225,41823.285,103,100,0.029558802,a,p1,1
5.8,31974.089,90,98,0.085157808,a,p1,1
4.725,28807.759,80,86,0.072320662,a,p1,1
5.2,23803.122,81,83,0.024391453,a,p1,1
7.225,14481.705,75,63,0.174353387,a,p1,1
8.075,21244.608,80,78,0.025317808,a,p1,1
6.825,13180.977,66,70,0.0588405,a,p1,1
5.95,26648.293,94,110,0.157185584,a,p1,1
6.675,16940.899,73,74,0.013605652,a,p2,1
8.45,11511.156,60,62,0.032789823,a,p2,1
4.475,22709.84,76,85,0.111917916,a,p2,1
9.75,12994.913,60,62,0.032789823,a,p2,1
9.625,21476.22,80,95,0.171850257,a,p2,1
9.7,14589.383,65,63,0.031252544,a,p2,1
4.8,36635.278,100,111,0.104360015,a,p2,1
6.675,25599.759,85,92,0.079137321,a,p2,1
5.275,33395.697,104,115,0.100541229,a,p2,1
9.45,11009.255,60,63,0.048790164,a,p2,1
12.375,11038.0424,70,72,0.028170877,a,p3,0
12.35,7894.966,58,54,0.071458964,a,p3,0
12.7,17660.938,70,75,0.068992871,a,p3,0
12.625,7871.772,57,66,0.146603474,a,p3,0
12.5,10346.919,70,61,0.137621378,a,p3,0
12.325,14382.199,64,73,0.131576358,a,p3,0
12.2,11324.303,58,60,0.033901552,a,p3,0
12.075,12314.069,70,73,0.041964199,a,p3,0
12.05,10466.529,56,60,0.068992871,a,p3,0
12.575,6856.856,51,58,0.128617378,a,p3,0
11.175,15677.481,72,69,0.042559614,a,p4,0
11.2,25954.54,80,83,0.036813973,a,p4,0
10.65,15669.175,70,69,0.014388737,a,p4,0
12.5,22484.382,85,81,0.048202102,a,p4,0
10.275,9792.312,60,64,0.064538521,a,p4,0
10.15,10780.928,50,56,0.113328685,a,p4,0
11.075,21835.586,90,86,0.045462374,a,p4,0
12.475,10364.539,65,64,0.015504187,a,p4,0
13.025,17216.341,85,81,0.048202102,a,p4,0
12.775,9671.667,66,57,0.146603474,a,p4,0
5.825,27355.882,91,100,0.094310679,b,p1,1
5.875,30771.619,99,105,0.0588405,b,p1,1
11.1,14855.129,78,80,0.025317808,b,p1,1
5.85,38639.011,125,111,0.118783536,b,p1,1
7.675,25933.556,95,90,0.054067221,b,p1,1
7.275,18762.794,79,85,0.073203404,b,p1,1
6.9,36132.638,117,109,0.070826053,b,p1,1
7.6,18385.736,67,82,0.202026628,b,p1,1
7.575,26607.175,99,93,0.062520357,b,p1,1
7.95,26509.137,95,107,0.118951943,b,p1,1
7.475,29193.646,90,95,0.054067221,b,p1,1
6.875,20629.471,97,89,0.086074609,b,p1,1
5.6,35708.477,104,120,0.143100844,b,p1,1
7.175,20289.855,97,81,0.180261824,b,p1,1
7.55,17286.57,78,84,0.074107972,b,p1,1
11.7,11026.166,62,64,0.031748698,b,p2,1
12.4,9230.664,59,53,0.10724553,b,p2,1
11.175,9250.854,53,53,0,b,p2,1
11,9561.79,56,55,0.018018506,b,p2,1
11.55,13289.282,71,67,0.057987258,b,p2,1
10.725,11952.471,66,64,0.030771659,b,p2,1
11.4,8773.893,60,49,0.202524264,b,p2,1
11.65,12061.398,63,63,0,b,p2,1
11.975,14352.742,71,73,0.027779564,b,p2,1
12,10897.747,65,61,0.063513406,b,p2,1
11.7,10839.709,73,65,0.116072171,b,p2,1
11.2,11267.81,67,71,0.057987258,b,p2,1
11.3,6403.949,49,53,0.078471615,b,p2,1
12.15,8806.723,61,54,0.121889818,b,p2,1
11.5,6461.043,50,52,0.039220713,b,p2,1
6.85,23452.37,86,93,0.078252197,c,p3,0
6.625,33350.886,115,106,0.081493034,c,p3,0
8.2,21429.678,75,72,0.040821995,c,p3,0
6.8,24358.939,83,87,0.047067511,c,p3,0
5.975,15395.054,70,65,0.074107972,c,p3,0
8.1,18227.076,76,83,0.088107268,c,p3,0
6.7,31530.508,105,117,0.108213585,c,p3,0
8.725,19304.366,84,81,0.036367644,c,p3,0
7.625,19284.346,82,89,0.081917122,c,p3,0
7.7,22821.49,83,80,0.036813973,c,p3,0
7.575,19666.31,80,87,0.083881484,c,p3,0
9.125,16759.098,81,74,0.090384061,c,p3,0
6.5,37131.758,120,106,0.124052649,c,p3,0
7.775,21301.712,86,82,0.047628049,c,p3,0
6.8,36069.819,115,104,0.100541229,c,p3,0
12.2,8941,62,61,0.016260521,c,p4,0
9.7,27107.713,101,96,0.050772325,c,p4,0
12.4,9132.758,59,63,0.065597282,c,p4,0
12,10623.078,60,58,0.033901552,c,p4,0
12.5,7714.754,61,55,0.103540679,c,p4,0
12.1,8037.172,53,56,0.055059777,c,p4,0
11.55,18288.237,86,83,0.035506688,c,p4,0
12.8,7552.194,50,52,0.039220713,c,p4,0
11.425,8435.157,54,57,0.054067221,c,p4,0
12.1,8548.642,53,52,0.019048195,c,p4,0
12.5,10973.342,62,66,0.062520357,c,p4,0
12.35,6557.649,54,47,0.138836445,c,p4,0
11.9,6813.839,44,50,0.127833372,c,p4,0
11.95,6480.713,53,55,0.037041272,c,p4,0
12.2,5610.989,44,46,0.044451763,c,p4,0
