twig_id,leaf_id,teams,shade,mass_g,petiole_mm,thickness_mm,paper_mass_g
,,12345,sunny,0.4,79,0.15,0.21
,,12345,sunny,0.48,63,0.14,0.21
,,12345,sunny,0.34,68,0.14,0.21
,,12345,sunny,0.65,35,0.15,0.24
,,12345,sunny,0.27,34,0.11,0.15
,,12345,sunny,0.43,40,0.16,0.34
,,12345,shady,0.39,40,0.14,0.29
,,12345,shady,0.45,65,0.15,0.25
,,12345,shady,0.6,68,0.12,0.23
,,12345,shady,0.57,73,0.14,0.28
,,12345,shady,0.34,58,0.15,0.23
,,12345,shady,0.34,45,0.13,0.27
twig_1,l07,fighting_mongooses,shady,0.5886,66,0.32,0.2566
twig_1,l08,fighting_mongooses,shady,0.5112,51,0.25,0.2491
twig_2,l09,fighting_mongooses,shady,0.9203,0.3827,,
twig_2,l10,fighting_mongooses,shady,0.7818,67,0.27,0.3422
twig_3,l11,fighting_mongooses,shady,0.5851,68,0.41,0.26
twig_3,l12,fighting_mongooses,shady,0.5333,57,0.24,0.2502
twig_4,l01,fighting_mongooses,sunny,0.7366,75,0.24,0.3034
twig_4,l02,fighting_mongooses,sunny,0.4263,30,0.14,0.219
twig_5,l03,fighting_mongooses,sunny,0.5682,49,0.1,0.2524
twig_5,l04,fighting_mongooses,sunny,0.76,79,0.16,0.312
twig_6,l05,fighting_mongooses,sunny,0.5777,59,0.13,0.2688
twig_6,l06,fighting_mongooses,sunny,0.1933,29,0.13,0.113
,,leaf_oglers,shady,0.8,41.2,0.5,0.3
,,leaf_oglers,shady,0.53,66.8,0.55,0.34
,,leaf_oglers,shady,0.61,59.38,0.23,0.25
,,leaf_oglers,shady,0.68,61.16,0.47,0.32
,,leaf_oglers,shady,0.344,48.28,0.67,0.1955
,,leaf_oglers,shady,0.5665,54.27,0.6,0.2489
,,leaf_oglers,sunny,0.7912,53.86,0.23,0.3324
,,leaf_oglers,sunny,0.499,48.73,0.229,0.2115
,,leaf_oglers,sunny,0.6882,45.26,0.19,0.3723
,,leaf_oglers,sunny,0.4162,47.94,0.34,0.2225
,,still_loading,sunny,0.6185,85,0.62,0.3819
,,still_loading,sunny,1.0842,84,0.68,0.4201
,,still_loading,sunny,0.6649,64,0.69,0.4267
,,still_loading,shady,0.4495,91,0.49,0.2798
,,still_loading,shady,0.502,68,0.46,0.3538
,,still_loading,shady,0.6068,82,0.32,0.3009
,,still_loading,shady,0.5463,64,0.56,0.3581
,1,Oscar_Karl,shady,0.4545,53.56,0.36,
,2,Oscar_Karl,shady,0.3713,26.31,0.43,
,3,Oscar_Karl,shady,0.3506,57.76,0.48,
,4,Oscar_Karl,shady,0.4534,50.95,0.41,
,5,Oscar_Karl,shady,0.3442,37.02,0.25,
,6,Oscar_Karl,shady,0.4256,66.28,0.5,
,1,Oscar_Karl,sunny,0.3571,48.72,0.41,
,2,Oscar_Karl,sunny,0.3484,44.85,0.39,
,3,Oscar_Karl,sunny,0.5107,63.41,0.53,
,4,Oscar_Karl,sunny,0.2303,35.67,0.36,
,5,Oscar_Karl,sunny,0.3041,51.26,0.43,
,6,Oscar_Karl,sunny,0.2817,46.93,0.4,
