id,tree_id,side,weight_g,height_cm,width_cm,date_collected,notes
1,Tree1,Sunny,5.2,28.4,14.1,2026-06-01,
2,Tree1,sunny ,4.8,26.1,13.5,2026-06-01,
3,Tree1, SHADY,7.9,33.2,17.8,2026-06-01,
4,Tree1,shady,8.1,34.0,18.2,6/1/2026,
5,tree_02,Sunny,5.5g,27.9,14.4,2026-06-02,recorded with units by mistake
6,tree_02,sunny,NA,25.8,13.2,2026-06-02,scale battery died
7,tree_02,Shady,7.6,32.5,17.1,6/2/2026,
8,tree_02,SHADY,7.6,32.5,17.1,6/2/2026,duplicate entry - entered twice
9,Tree 3,sunny,5.1,26.5,13.9,2026-06-02,
10,Tree 3,sunny,-999,26.9,14.0,2026-06-02,-999 used as missing code
11,Tree 3,shady,8.4,35.1,18.6,2026-06-03,
12,Tree 3,shady,52,34.6,18.0,2026-06-03,typo - decimal point dropped (should be 5.2? check field notebook)
13,Tree4,Sunny ,4.9,,13.6,2026-06-03,height not recorded
14,Tree4,sunny,5.3,27.2,14.0,2026-06-03,
15,Tree4, shady,999,33.8,17.9,2026-06-03,999 used as missing code
16,Tree4,shady,8.0,33.5,17.6,6/3/2026,
17,tree_05,SUNNY,5.0,26.8,13.8,2026-06-04,
18,tree_05,sunny,4.7,N/A,13.1,2026-06-04,height not recorded
19,tree_05,Shady,7.8,32.9,,2026-06-04,width not recorded
20,tree_05,shady,8.2,34.4,18.3,2026-06-04,
