crayfish.id,species,lifestyle,sex,clawside,carapace.length.mm,claw.length,maxclawstr.N,PC1.claw.size
CC05,c.carinirostris,Stream-dwelling,Female,l,15.62,8.38,0.573363,-4.69
CC05,c.carinirostris,Stream-dwelling,Female,r,15.62,9.07,0.915369,-4.64
CC06,c.carinirostris,Stream-dwelling,Male,r,34.02,29.16,15.79263,3.68
CC06,c.carinirostris,Stream-dwelling,Male,l,34.02,28.34,18.840507,2.51
CC07,c.carinirostris,Stream-dwelling,Male,l,24,14.63,7.333011,-1.13
CC07,c.carinirostris,Stream-dwelling,Male,r,24,14.58,9.012864,-1.25
CC08,c.carinirostris,Stream-dwelling,Male,r,17.21,7.57,3.842538,-1.9
CC08,c.carinirostris,Stream-dwelling,Male,l,17.21,9.28,10.76313,1.03
CC09,c.carinirostris,Stream-dwelling,Female,l,35.38,21.95,7.976787,1.77
CC09,c.carinirostris,Stream-dwelling,Female,r,35.38,25.78,11.698617,1.39
CC10,c.carinirostris,Stream-dwelling,Male,r,34.16,25.06,9.495696,0.93
CC10,c.carinirostris,Stream-dwelling,Male,l,34.16,24.68,14.122836,2.01
CC100,c.carinirostris,Stream-dwelling,Male,l,24.62,15.59,8.610504,-2.41
CC100,c.carinirostris,Stream-dwelling,Male,r,24.62,15.87,11.86962,-2.17
CC102,c.carinirostris,Stream-dwelling,Female,r,20.56,12.79,3.510591,-3.4
CC102,c.carinirostris,Stream-dwelling,Female,l,20.56,12.52,5.93481,-3.12
CC103,c.carinirostris,Stream-dwelling,Female,l,24.22,13.07,4.667376,-2.88
CC103,c.carinirostris,Stream-dwelling,Female,r,24.22,14.73,5.160267,-2.39
CC104,c.carinirostris,Stream-dwelling,Female,r,25.42,17.22,4.908792,-1.58
CC104,c.carinirostris,Stream-dwelling,Female,l,25.42,16.96,10.572009,-1.72
CC105,c.carinirostris,Stream-dwelling,Female,l,33.95,19.11,5.170326,-0.951
CC105,c.carinirostris,Stream-dwelling,Female,r,33.95,22.22,13.247703,0.176
CC106,c.carinirostris,Stream-dwelling,Female,l,16,9.59,1.066254,-4.55
CC106,c.carinirostris,Stream-dwelling,Female,r,16,9.49,21.274785,-4.37
CC107,c.carinirostris,Stream-dwelling,Female,r,30.61,20.81,1.237257,-0.0794
CC107,c.carinirostris,Stream-dwelling,Female,l,30.61,20.05,4.234839,-0.36
CC108,c.carinirostris,Stream-dwelling,Female,r,34.81,22.66,10.119354,0.153
CC108,c.carinirostris,Stream-dwelling,Female,l,34.81,23.97,17.462424,0.393
CC109,c.carinirostris,Stream-dwelling,Male,r,28.42,18.75,11.779089,-0.926
CC109,c.carinirostris,Stream-dwelling,Male,l,28.42,18.46,13.650063,-0.961
CC110,c.carinirostris,Stream-dwelling,Female,l,19.12,10.97,2.565045,-3.72
CC110,c.carinirostris,Stream-dwelling,Female,r,19.12,11.11,14.857143,-3.78
CC111,c.carinirostris,Stream-dwelling,Male,r,33.65,21.09,4.32537,1.88
CC111,c.carinirostris,Stream-dwelling,Male,l,33.65,26.08,12.986169,1.66
CC112,c.carinirostris,Stream-dwelling,Male,l,38.19,30.7,14.032305,2.11
CC112,c.carinirostris,Stream-dwelling,Male,r,38.19,31.96,20.671245,2.66
CC113,c.carinirostris,Stream-dwelling,Female,r,41.3,31.43,17.190831,2.74
CC113,c.carinirostris,Stream-dwelling,Female,l,41.3,30.22,23.859948,2.82
CC115,c.carinirostris,Stream-dwelling,Female,l,32.79,21.44,17.381952,0.0993
CC115,c.carinirostris,Stream-dwelling,Female,r,32.79,21.75,23.900184,-0.12
CC12,c.carinirostris,Stream-dwelling,Male,l,26.01,14.91,1.740207,-2.19
CC12,c.carinirostris,Stream-dwelling,Male,r,26.01,16.73,16.49676,-1.86
CC13,c.carinirostris,Stream-dwelling,Female,l,28.68,17.39,8.308734,-0.511
CC13,c.carinirostris,Stream-dwelling,Female,r,28.68,18.2,17.925138,-0.941
CC14,c.carinirostris,Stream-dwelling,Male,l,18.68,10.46,3.057936,-2.59
CC14,c.carinirostris,Stream-dwelling,Male,r,18.68,10.76,5.793984,-3.14
CC15,c.carinirostris,Stream-dwelling,Male,l,25.88,16.95,8.399265,-0.776
CC15,c.carinirostris,Stream-dwelling,Male,r,25.88,15.06,8.680917,-0.658
CC16,c.carinirostris,Stream-dwelling,Female,r,22.22,10.97,3.037818,-3.43
CC16,c.carinirostris,Stream-dwelling,Female,l,22.22,14.03,5.371506,-1.99
CC17,c.carinirostris,Stream-dwelling,Female,r,37.28,28.38,1.659735,4.51
CC17,c.carinirostris,Stream-dwelling,Female,l,37.28,27.61,16.879002,4.13
CC18,c.carinirostris,Stream-dwelling,Female,r,31.85,23.19,0.663894,0.492
CC18,c.carinirostris,Stream-dwelling,Female,l,31.85,22.63,15.541155,1.03
CC19,c.carinirostris,Stream-dwelling,Female,l,34.59,23.33,16.446465,1.09
CC19,c.carinirostris,Stream-dwelling,Female,r,34.59,23.15,20.178354,0.482
CC21,c.carinirostris,Stream-dwelling,Male,l,25.15,14.08,1.217139,-2.48
CC21,c.carinirostris,Stream-dwelling,Male,r,25.15,17.38,15.702099,-1.49
CC22,c.carinirostris,Stream-dwelling,Female,l,22.12,13.1,2.363865,-2.46
CC22,c.carinirostris,Stream-dwelling,Female,r,22.12,12.2,18.096141,-3.56
CC23,c.carinirostris,Stream-dwelling,Male,l,17.18,9.93,1.458555,-3.57
CC23,c.carinirostris,Stream-dwelling,Male,r,17.18,9.84,9.495696,-3.94
CC26,c.carinirostris,Stream-dwelling,Female,r,30.18,21.3,1.50885,0.00167
CC26,c.carinirostris,Stream-dwelling,Female,l,30.18,21.07,12.453042,0.903
CC27,c.carinirostris,Stream-dwelling,Female,r,26.69,16.94,1.850856,-1.56
CC27,c.carinirostris,Stream-dwelling,Female,l,26.69,15.9,2.394042,-1.43
CC29,c.carinirostris,Stream-dwelling,Female,l,28.06,17.53,10.411065,-0.143
CC29,c.carinirostris,Stream-dwelling,Female,r,28.06,10.03,13.841184,-3.63
CC30,c.carinirostris,Stream-dwelling,Female,r,33.96,24.66,4.707612,1.47
CC30,c.carinirostris,Stream-dwelling,Female,l,33.96,24.19,17.552955,0.788
CC32,c.carinirostris,Stream-dwelling,Male,r,26.51,17.95,0.352065,-0.843
CC32,c.carinirostris,Stream-dwelling,Male,l,26.51,17.46,4.576845,-0.788
CC33,c.carinirostris,Stream-dwelling,Male,l,33.11,18.23,11.406906,2.92
CC33,c.carinirostris,Stream-dwelling,Male,r,33.11,25.18,13.971951,2.35
CC34,c.carinirostris,Stream-dwelling,Male,r,31.92,21.33,9.908115,2.45
CC34,c.carinirostris,Stream-dwelling,Male,l,31.92,24.07,11.758971,2.05
CC35,c.carinirostris,Stream-dwelling,Male,l,26.21,17.74,9.083277,-0.839
CC35,c.carinirostris,Stream-dwelling,Male,r,26.21,12.6,11.587968,-2.73
CC36,c.carinirostris,Stream-dwelling,Female,r,31.26,20.51,6.095754,0.654
CC36,c.carinirostris,Stream-dwelling,Female,l,31.26,20.59,11.980269,0.696
CC37,c.carinirostris,Stream-dwelling,Male,l,17.69,10.07,0.452655,-3.14
CC37,c.carinirostris,Stream-dwelling,Male,r,17.69,10.17,0.865074,-2.17
CC38,c.carinirostris,Stream-dwelling,Female,l,36,21.67,7.101654,1
CC38,c.carinirostris,Stream-dwelling,Female,r,36,26.35,11.427024,4.53
CC39,c.carinirostris,Stream-dwelling,Female,r,16.57,9.8,0.523068,-3.43
CC39,c.carinirostris,Stream-dwelling,Female,l,16.57,9.44,1.418319,-3.36
CC40,c.carinirostris,Stream-dwelling,Male,r,35.9,27.41,13.821066,3.44
CC40,c.carinirostris,Stream-dwelling,Male,l,35.9,28.39,15.008028,3.49
CC41,c.carinirostris,Stream-dwelling,Female,r,32.98,23.2,1.086372,1.46
CC41,c.carinirostris,Stream-dwelling,Female,l,32.98,22.72,10.612245,1.98
CC42,c.carinirostris,Stream-dwelling,Male,l,33.65,23.83,9.515814,3.29
CC42,c.carinirostris,Stream-dwelling,Male,r,33.65,24.62,16.265403,1.39
CC43,c.carinirostris,Stream-dwelling,Male,l,31.16,23.35,6.548409,1.37
CC43,c.carinirostris,Stream-dwelling,Male,r,31.16,23.48,10.139472,0.463
CC44,c.carinirostris,Stream-dwelling,Female,l,26.7,17.05,7.966728,-0.219
CC44,c.carinirostris,Stream-dwelling,Female,r,26.7,16.89,8.811684,-0.225
CC45,c.carinirostris,Stream-dwelling,Male,r,28.8,18.83,8.338911,-0.283
CC45,c.carinirostris,Stream-dwelling,Male,l,28.8,18.74,9.847761,0.863
CC47,c.carinirostris,Stream-dwelling,Male,l,30.59,22.75,7.775607,2.36
CC47,c.carinirostris,Stream-dwelling,Male,r,30.59,23.06,8.560209,0.682
CC48,c.carinirostris,Stream-dwelling,Female,r,29.36,19.29,9.395106,0.207
CC48,c.carinirostris,Stream-dwelling,Female,l,29.36,19.28,10.059,0.943
CC49,c.carinirostris,Stream-dwelling,Male,r,29.62,22.19,8.389206,1.64
CC49,c.carinirostris,Stream-dwelling,Male,l,29.62,21.57,14.032305,2.39
CC51,c.carinirostris,Stream-dwelling,Male,l,34.17,24.84,7.866138,3.04
CC51,c.carinirostris,Stream-dwelling,Male,r,34.17,25.7,10.390947,1.42
CC52,c.carinirostris,Stream-dwelling,Male,l,NA,21.29,12.714576,1.1
CC53,c.carinirostris,Stream-dwelling,Female,l,28.92,18.8,6.910533,-0.196
CC53,c.carinirostris,Stream-dwelling,Female,r,28.92,17.53,16.718058,-0.581
CC54,c.carinirostris,Stream-dwelling,Male,r,35.31,27.98,9.45546,2.77
CC54,c.carinirostris,Stream-dwelling,Male,l,35.31,27.71,17.80443,3.19
CC55,c.carinirostris,Stream-dwelling,Male,l,22.51,14.31,8.389206,-2.32
CC55,c.carinirostris,Stream-dwelling,Male,r,22.51,14.61,9.998646,-2.27
CC56,c.carinirostris,Stream-dwelling,Male,l,24.02,15,7.151949,-1.85
CC57,c.carinirostris,Stream-dwelling,Female,l,18.53,10.97,1.056195,-3.29
CC57,c.carinirostris,Stream-dwelling,Female,r,18.53,11.12,18.156495,-3.25
