dose,bites,fitted_values,residuals,std_residuals,student_residuals,leverage,cooks_d
1.5,4.06201920231798,3.27432993302329,0.7876892692946905,1.2398726158957492,1.2467266235113184,0.08619612135263742,0.07250348255671651
1.4,4.183300132670378,3.315309365901842,0.8679907667685357,1.3714480211499283,1.3839439689461714,0.09308041279843521,0.09652020323149048
2,3.5355339059327378,3.0694327686304956,0.466101137302242,0.7221591670114431,0.7186588313804979,0.05682616678377943,0.015710589441049534
2.3,3.5355339059327378,2.9464944699948235,0.5890394359379144,0.9061346312248207,0.9044848048015012,0.04324539617057237,0.01855644511358489
2.3,3.24037034920393,2.9464944699948235,0.2938758792091068,0.4520768817609037,0.4484507331611364,0.04324539617057237,0.0046188506658808685
2.5,3.24037034920393,2.8645356042377084,0.3758347449662218,0.5759423031959868,0.5720545084617975,0.03587538331514573,0.006171508625159401
3.4,3.5355339059327378,2.495720708330691,1.0398131976020468,1.5799875056051302,1.6046793004726987,0.019380284244168915,0.024668164240874386
3.5,3.5355339059327378,2.4547412754521334,1.0807926304806044,1.6421306992602267,1.6713197699617806,0.019231329678549573,0.02643797413740865
3.4,3.391164991562634,2.495720708330691,0.895444283231943,1.3606201409394638,1.37259557563988,0.019380284244168915,0.01829377431210136
3.5,3.24037034920393,2.4547412754521334,0.7856290737517967,1.1936661889205527,1.1988747349771178,0.019231329678549573,0.01396942460087791
4.5,3.082207001484488,2.0449469466665584,1.0372600548179296,1.589853989545333,1.6152317776064076,0.03626396044284839,0.04755559487721236
4.4,2.9154759474226504,2.085926379545116,0.8295495678775343,1.2693690431395186,1.2773618915613443,0.03304524656837824,0.027532690562371426
4.5,2.9154759474226504,2.044946946666559,0.8705290007560917,1.3342979886658421,1.3450513030915858,0.03626396044284839,0.03349598854499665
4.9,2.549509756796392,1.8810292151523287,0.6684805416440632,1.033354379902285,1.034070259976485,0.05250648438081852,0.02958729539825389
5,2.549509756796392,1.8400497822737711,0.7094599745226206,1.0995497894041633,1.101902385843017,0.05740903247533341,0.036817708731742164
5.1,2.345207879911715,1.7990703493952138,0.546137530516501,0.8487883013446464,0.8463773280436792,0.06264834741385725,0.024075529339494663
5.8,1.224744871391589,1.5122143192453115,-0.2874694478537225,-0.4581854541668498,-0.4545356866252481,0.10875302361577478,0.012808429156867621
6,0.7071067811865476,1.4302554534881966,-0.7231486723016489,-1.1632189169984835,-1.1674325933181793,0.12495668984097465,0.0966101775254025
4.7,1.5811388300841898,1.9629880809094435,-0.38184925082525384,-0.5875517941615833,-0.5836650025566397,0.043711688723815555,0.007889891946012572
4.8,1.8708286933869709,1.9220086480308862,-0.05117995464391532,-0.0789253533941896,-0.07813698109895464,0.04794070313031255,1.568351760482972e-4
4.6,1.8708286933869709,2.0039675137880013,-0.13313882040103034,-0.20444518572497064,-0.202475055971805,0.039819441161327476,8.666944852006759e-4
4.8,2.345207879911715,1.9220086480308862,0.4231992318808286,0.652621698567976,0.6488319032020405,0.04794070313031255,0.010723422661412563
4.5,2.345207879911715,2.044946946666559,0.30026093324515624,0.46022310452146886,0.4565656859257436,0.03626396044284839,0.0039849600516939495
4.1,2.345207879911715,2.2088646781807886,0.13634320173092615,0.20781222148729075,0.2058125046608747,0.025409706009021454,5.629758075962901e-4
3.5,2.7386127875258306,2.4547412754521334,0.2838715120736971,0.43130764540312394,0.42776929004215686,0.019231329678549573,0.0018238413010353068
3.3,2.9154759474226504,2.5367001412092485,0.3787758062134018,0.5756892803706407,0.5718015163292464,0.019866005653797206,0.0033587013768799183
3,2.9154759474226504,2.659638439844921,0.25583750757772944,0.38953096870277787,0.38620243234083107,0.023343770946735783,0.0018133568408633383
3,3.24037034920393,2.6596384398449207,0.5807319093590093,0.8842060155722079,0.8822440363447505,0.023343770946735783,0.009343427578520502
2.6,3.082207001484488,2.823556171359151,0.2586508301253372,0.3957135450968543,0.39235128516139667,0.03269552715344584,0.002646409121322153
2.5,2.7386127875258306,2.8645356042377084,-0.12592281671187777,-0.19296852686806035,-0.19110026844415737,0.03587538331514573,6.927975537624958e-4
2.6,2.7386127875258306,2.823556171359151,-0.08494338383332024,-0.1299560783660259,-0.12867168663566197,0.03269552715344584,2.8542259278908374e-4
2.2,2.7386127875258306,2.9874739028733805,-0.24886111534755015,-0.38367057835334134,-0.38037483108507736,0.047435552864299096,0.0036651908723768886
2,2.9154759474226504,3.0694327686304956,-0.1539568212078454,-0.2385347746686404,-0.23627185361276537,0.05682616678377943,0.0017140758073375501
2.2,2.549509756796392,2.987473902873381,-0.43796414607698897,-0.675211782237316,-0.67149398722331,0.047435552864299096,0.011351666586200628
2.2,2.549509756796392,2.987473902873381,-0.43796414607698897,-0.675211782237316,-0.67149398722331,0.047435552864299096,0.011351666586200628
2.5,2.549509756796392,2.8645356042377084,-0.3150258474413166,-0.48275662261594815,-0.4790223586054999,0.03587538331514573,0.004336005887775929
2.6,2.549509756796392,2.823556171359151,-0.274046414562759,-0.41926746639537854,-0.41578514838511454,0.03269552715344584,0.0029708278081102563
3.1,2.345207879911715,2.6186590069663636,-0.2734511270546486,-0.41603045709388886,-0.4125638303925292,0.02184774900508064,0.0019329494446309549
3.1,1.224744871391589,2.6186590069663636,-1.3939141355747744,-2.1207107142656336,-2.2007029755240617,0.02184774900508064,0.050226521839174615
3.2,1.5811388300841898,2.577679574087806,-0.9965407440036161,-1.5152464275878206,-1.5356907980563523,0.020688493907434446,0.024251832528739675
3.2,2.1213203435596424,2.5776795740878056,-0.4563592305281634,-0.6938970613247872,-0.6902546131048141,0.020688493907434446,0.005085903545495248
3.5,1.8708286933869709,2.4547412754521334,-0.5839125820651626,-0.8871829337577237,-0.88526177413877,0.019231329678549573,0.007716832806178621
3.6,1.8708286933869709,2.413761842573576,-0.5429331491866051,-0.8249987503269294,-0.8223231931477899,0.019419141956939178,0.006739430687717284
3.6,1.224744871391589,2.413761842573576,-1.189016971181987,-1.8067371955686269,-1.8499868711041627,0.019419141956939178,0.03232262329887783
3.5,1.224744871391589,2.4547412754521334,-1.2299964040605444,-1.8688273755061964,-1.9182526351144567,0.019231329678549573,0.03424136802582268
3.6,1.5811388300841898,2.413761842573576,-0.8326230124893862,-1.2651888097573063,-1.2730159762341076,0.019419141956939178,0.01584992873344349
3.9,1.8708286933869709,2.2908235439379037,-0.41999485055093266,-0.6390338769430381,-0.635210554188843,0.0220031798561617,0.0045937332637644305
5.2,1.8708286933869709,1.7580909165166563,0.11273777687031468,0.17573669078303134,0.1740242009230571,0.06822442919639006,0.0011306377545862976
3.7,1.8708286933869709,2.3727824096950183,-0.5019537163080475,-0.7629337089146062,-0.7597007575611926,0.01994372107933774,0.0059224143468193605
3.1,1.5811388300841898,2.6186590069663636,-1.0375201768821736,-1.578490453053283,-1.6030790707283238,0.02184774900508064,0.02782621667803748
3.9,1.5811388300841898,2.2908235439379037,-0.7096847138537138,-1.0798050821486251,-1.0816385677984497,0.0220031798561617,0.013116221574898066
3.8,1.5811388300841898,2.331802976816461,-0.7506641467322713,-1.1414574643923905,-1.145002236831883,0.02080506704574524,0.013841699974015525
